State/UT,#full-time-teachers
Andaman and Nicobar Islands,4683
Andhra Pradesh,485308
Arunachal Pradesh,12619
Assam,206830
Bihar,258480
Chandigarh,5639
Chhattisgarh,98856
Dadra and Nagar Haveli,1276
Daman and Diu,868
Delhi,106179
Goa,10330
Gujarat,295761
Haryana,141127
Himachal Pradesh,68393
Jammu and Kashmir,117179
Jharkhand,70141
Karnataka,380459
Kerala,223201
Lakshadweep,835
Madhya Pradesh,468618
Maharashtra,575947
Manipur,27330
Meghalaya,34883
Mizoram,15195
Nagaland,20956
Orissa,177467
Puducherry,10816
Punjab,146938
Rajasthan,455598
Sikkim,9242
Tamil Nadu,421421
Tripura,30851
Uttar Pradesh,764952
Uttarakhand,85609
West Bengal,317652
