State/UT,#govt-schools
Andaman and Nicobar Islands,319
Andhra Pradesh,77139
Arunachal Pradesh,2681
Assam,41082
Bihar,68769
Chandigarh,113
Chhattisgarh,47852
Dadra and Nagar Haveli,279
Daman and Diu,95
Delhi,2817
Goa,1036
Gujarat,32608
Haryana,14297
Himachal Pradesh,15197
Jammu and Kashmir,21634
Jharkhand,38151
Karnataka,51371
Kerala,4929
Lakshadweep,46
Madhya Pradesh,111719
Maharashtra,66381
Manipur,2604
Meghalaya,4922
Mizoram,2107
Nagaland,1971
Orissa,56879
Puducherry,437
Punjab,19925
Rajasthan,77049
Sikkim,778
Tamil Nadu,35777
Tripura,4165
Uttar Pradesh,148865
Uttarakhand,17217
West Bengal,53556
