State/UT,#pucca-building-type-schools
Andaman and Nicobar Islands,340
Andhra Pradesh,98326
Arunachal Pradesh,2721
Assam,41070
Bihar,61912
Chandigarh,184
Chhattisgarh,49952
Dadra and Nagar Haveli,291
Daman and Diu,111
Delhi,4919
Goa,1545
Gujarat,45173
Haryana,19089
Himachal Pradesh,15980
Jammu and Kashmir,21967
Jharkhand,39359
Karnataka,67648
Kerala,13587
Lakshadweep,46
Madhya Pradesh,129696
Maharashtra,92237
Manipur,2629
Meghalaya,9664
Mizoram,2780
Nagaland,2302
Orissa,60137
Puducherry,702
Punjab,24151
Rajasthan,98200
Sikkim,926
Tamil Nadu,52719
Tripura,4063
Uttar Pradesh,222188
Uttarakhand,21632
West Bengal,60047
