State/UT,#schools
Andaman and Nicobar Islands,477
Andhra Pradesh,130093
Arunachal Pradesh,3479
Assam,58461
Bihar,77166
Chandigarh,313
Chhattisgarh,60418
Dadra and Nagar Haveli,359
Daman and Diu,161
Delhi,6895
Goa,2612
Gujarat,61833
Haryana,31012
Himachal Pradesh,22846
Jammu and Kashmir,30533
Jharkhand,46540
Karnataka,93610
Kerala,17499
Lakshadweep,63
Madhya Pradesh,164701
Maharashtra,119697
Manipur,4935
Meghalaya,10488
Mizoram,4446
Nagaland,2939
Orissa,95333
Puducherry,1011
Punjab,29056
Rajasthan,129728
Sikkim,1363
Tamil Nadu,51572
Tripura,5233
Uttar Pradesh,235945
Uttarakhand,25577
West Bengal,70121
