State/UT,#schools-100-people
Andaman and Nicobar Islands,0.4119028703671721
Andhra Pradesh,0.45795942155591934
Arunachal Pradesh,0.5782229823275511
Assam,0.4790841863374509
Bihar,0.16632007132326082
Chandigarh,0.0896313944697716
Chhattisgarh,0.6096674336702357
Dadra and Nagar Haveli,0.27726503911831263
Daman and Diu,0.20225622471797192
Delhi,0.11840916471479018
Goa,0.6536438391815939
Gujarat,0.28742655592115995
Haryana,0.3294982185825223
Himachal Pradesh,1.0250910853061004
Jammu and Kashmir,0.6184570112320041
Jharkhand,0.33711473106625245
Karnataka,0.45854621696187
Kerala,0.1835946208947864
Lakshadweep,0.31222123104371097
Madhya Pradesh,0.5649844650797641
Maharashtra,0.3187961656782317
Manipur,0.46397320895529404
Meghalaya,0.7920941631390734
Mizoram,1.0698172455694983
Nagaland,0.3480730444133625
Orissa,0.6427856142458331
Puducherry,0.2755654406593946
Punjab,0.312892650339448
Rajasthan,0.4542937956581408
Sikkim,0.6122513150152052
Tamil Nadu,0.23905288481884857
Tripura,0.40979273868880417
Uttar Pradesh,0.26729900487326036
Uttarakhand,0.6463085087726834
West Bengal,0.2207265021700581
