State/UT,#students-secondary,#students-primary,#students-total
Andaman and Nicobar Islands,45162,55106,100268
Andhra Pradesh,7438966,10768500,18207466
Arunachal Pradesh,119238,307741,426979
Assam,1762926,4274376,6037302
Bihar,6135756,19814706,25950462
Chandigarh,111290,136396,247686
Chhattisgarh,2001700,4637441,6639141
Dadra and Nagar Haveli,23482,59035,82517
Daman and Diu,16436,26284,42720
Delhi,2115584,2714072,4829656
Goa,127032,198789,325821
Gujarat,4594862,9444334,14039196
Haryana,2606994,3534032,6141026
Himachal Pradesh,897434,1035627,1933061
Jammu and Kashmir,1078534,1930306,3008840
Jharkhand,1716284,6838866,8555150
Karnataka,5269992,8382018,13652010
Kerala,3530814,3964703,7495517
Lakshadweep,8880,10015,18895
Madhya Pradesh,7030754,15421563,22452317
Maharashtra,10922774,16078423,27001197
Manipur,240288,517205,757493
Meghalaya,147360,674238,821598
Mizoram,99820,215607,315427
Nagaland,105268,310030,415298
Orissa,2722478,6421348,9143826
Puducherry,142466,184457,326923
Punjab,2188250,3835879,6024129
Rajasthan,6294812,12018619,18313431
Sikkim,42010,114347,156357
Tamil Nadu,6116442,9797264,15913706
Tripura,316876,610098,926974
Uttar Pradesh,18581522,39555898,58137420
Uttarakhand,1195300,1722120,2917420
West Bengal,6642426,11763953,18406379
