State/UT,#students-100-people
Andaman and Nicobar Islands,86.58422852405789
Andhra Pradesh,64.0947675690396
Arunachal Pradesh,70.96552767209987
Assam,49.475306894228034
Bihar,55.9324403326798
Chandigarh,70.9279283407024
Chhattisgarh,66.99440655508032
Dadra and Nagar Haveli,63.730025718456275
Daman and Diu,53.666993291625836
Delhi,82.94061389699417
Goa,81.53556252909115
Gujarat,65.26026157847954
Haryana,65.2475534396025
Himachal Pradesh,86.73569108171654
Jammu and Kashmir,60.94514766565039
Jharkhand,61.9696409858498
Karnataka,66.8740256321506
Kerala,78.64087102265425
Lakshadweep,93.64158985033204
Madhya Pradesh,77.01963139292592
Maharashtra,71.91389986651774
Manipur,71.2171140772386
Meghalaya,62.05024601894893
Mizoram,75.89951514130684
Nagaland,49.184770057427905
Orissa,61.65252128819003
Puducherry,89.10848719751854
Punjab,64.87147882697992
Rajasthan,64.13170696005074
Sikkim,70.23461398520355
Tamil Nadu,73.76516961643952
Tripura,72.59071548888124
Uttar Pradesh,65.8631228120909
Uttarakhand,73.72066190966893
West Bengal,57.93949964042743
