State/UT,#teachers
Andhra Pradesh,524297
Arunachal Pradesh,18035
Assam,247727
Bihar,369463
Chhattisgarh,208411
Goa,10851
Gujarat,319260
Haryana,142241
Himachal Pradesh,86795
Jammu and Kashmir,148386
Jharkhand,0
Karnataka,448389
Kerala,226440
Madhya Pradesh,394820
Maharashtra,707006
Manipur,28079
Meghalaya,30348
Mizoram,21228
Nagaland,22782
Orissa,281038
Punjab,170687
Rajasthan,520655
Sikkim,12149
Tamil Nadu,292618
Tripura,41955
Uttar Pradesh,715404
Uttarakhand,107580
West Bengal,327661
Andaman and Nicobar Islands,5264
Chandigarh,5114
Dadra and Nagar Haveli,1958
Daman and Diu,1310
Delhi,115472
Lakshadweep,823
Puducherry,
