State/UT,#teachers-100-people
Andaman and Nicobar Islands,4.081033470346448
Andhra Pradesh,1.7296977354465795
Arunachal Pradesh,2.716767136857186
Assam,2.1742969584411003
Bihar,0.664888010807119
Chandigarh,1.7943460630913382
Chhattisgarh,1.8175593060459276
Dadra and Nagar Haveli,1.3477088948787062
Daman and Diu,1.6331247958594006
Delhi,1.8120637901683128
Goa,2.6959054668848816
Gujarat,1.521511134902824
Haryana,1.0956782630305697
Himachal Pradesh,3.5736848717626577
Jammu and Kashmir,2.261511325583901
Jharkhand,0.8516384435092702
Karnataka,1.9556131572638649
Kerala,2.143227725421177
Lakshadweep,3.8358608385370205
Madhya Pradesh,1.851340282863055
Maharashtra,1.9150674834090002
Manipur,2.6300276691621876
Meghalaya,2.193288195244263
Mizoram,5.152736503964292
Nagaland,2.698128648460437
Orissa,1.6688503473886316
Puducherry,
Punjab,1.6901652033565318
Rajasthan,1.7245220526565899
Sikkim,5.50127795670669
Tamil Nadu,1.4677426240536466
Tripura,2.740043555650919
Uttar Pradesh,0.6897378106550123
Uttarakhand,2.7170883494659877
West Bengal,0.9461672359033418
