State/UT,boundary-wall-schools-percentage
Andaman and Nicobar Islands,48.52
Andhra Pradesh,56.09
Arunachal Pradesh,29.99
Assam,24.76
Bihar,44.55
Chandigarh,100
Chhattisgarh,71.92
Dadra and Nagar Haveli,39.39
Daman and Diu,91.82
Delhi,98.07
Goa,74.51
Gujarat,88.58
Haryana,95.62
Himachal Pradesh,45.42
Jammu and Kashmir,31.45
Jharkhand,25.2
Karnataka,69.1
Kerala,79.42
Lakshadweep,45.65
Madhya Pradesh,42.35
Maharashtra,58.55
Manipur,30.38
Meghalaya,18.87
Mizoram,58.26
Nagaland,75.34
Orissa,58.79
Puducherry,87.31
Punjab,95.08
Rajasthan,76.34
Sikkim,29.31
Tamil Nadu,71.85
Tripura,13.18
Uttar Pradesh,53.68
Uttarakhand,79.6
West Bengal,32.68
