State/UT,#schools-100-people,#teachers-100-people,#students-100-people
Andaman and Nicobar Islands,0.4119028704,4.0810334703,86.5842285241
Andhra Pradesh,0.4579594216,1.7296977354,64.094767569
Arunachal Pradesh,0.5782229823,2.7167671369,70.9655276721
Assam,0.4790841863,2.1742969584,49.4753068942
Bihar,0.1663200713,0.6648880108,55.9324403327
Chandigarh,0.0896313945,1.7943460631,70.9279283407
Chhattisgarh,0.6096674337,1.817559306,66.9944065551
Dadra and Nagar Haveli,0.2772650391,1.3477088949,63.7300257185
Daman and Diu,0.2022562247,1.6331247959,53.6669932916
Delhi,0.1184091647,1.8120637902,82.940613897
Goa,0.6536438392,2.6959054669,81.5355625291
Gujarat,0.2874265559,1.5215111349,65.2602615785
Haryana,0.3294982186,1.095678263,65.2475534396
Himachal Pradesh,1.0250910853,3.5736848718,86.7356910817
Jammu and Kashmir,0.6184570112,2.2615113256,60.9451476657
Jharkhand,0.3371147311,0.8516384435,61.9696409858
Karnataka,0.458546217,1.9556131573,66.8740256322
Kerala,0.1835946209,2.1432277254,78.6408710227
Lakshadweep,0.312221231,3.8358608385,93.6415898503
Madhya Pradesh,0.5649844651,1.8513402829,77.0196313929
Maharashtra,0.3187961657,1.9150674834,71.9138998665
Manipur,0.463973209,2.6300276692,71.2171140772
Meghalaya,0.7920941631,2.1932881952,62.0502460189
Mizoram,1.0698172456,5.152736504,75.8995151413
Nagaland,0.3480730444,2.6981286485,49.1847700574
Orissa,0.6427856142,1.6688503474,61.6525212882
Puducherry,0.2755654407,,89.1084871975
Punjab,0.3128926503,1.6901652034,64.871478827
Rajasthan,0.4542937957,1.7245220527,64.1317069601
Sikkim,0.612251315,5.5012779567,70.2346139852
Tamil Nadu,0.2390528848,1.4677426241,73.7651696164
Tripura,0.4097927387,2.7400435557,72.5907154889
Uttar Pradesh,0.2672990049,0.6897378107,65.8631228121
Uttarakhand,0.6463085088,2.7170883495,73.7206619097
West Bengal,0.2207265022,0.9461672359,57.9394996404
