State/UT,drinking-water-schools-percentage
Andaman and Nicobar Islands,95.81
Andhra Pradesh,90.51
Arunachal Pradesh,78.16
Assam,76.12
Bihar,91.86
Chandigarh,100
Chhattisgarh,93.59
Dadra and Nagar Haveli,96.3
Daman and Diu,100
Delhi,100
Goa,98.93
Gujarat,97.89
Haryana,99
Himachal Pradesh,97.55
Jammu and Kashmir,86.93
Jharkhand,87.37
Karnataka,94.71
Kerala,99.35
Lakshadweep,100
Madhya Pradesh,91.17
Maharashtra,92.16
Manipur,89.2
Meghalaya,58.56
Mizoram,86.05
Nagaland,75.09
Orissa,88.65
Puducherry,100
Punjab,99.78
Rajasthan,94.68
Sikkim,98.17
Tamil Nadu,100
Tripura,82.38
Uttar Pradesh,98.16
Uttarakhand,92.98
West Bengal,95.37
