State/UT,electricity-connection-school-percentage
Andaman and Nicobar Islands,86.21
Andhra Pradesh,67.12
Arunachal Pradesh,20.72
Assam,11.5
Bihar,4.33
Chandigarh,100
Chhattisgarh,22.59
Dadra and Nagar Haveli,76.43
Daman and Diu,100
Delhi,98.96
Goa,97.38
Gujarat,97.48
Haryana,94.7
Himachal Pradesh,60.78
Jammu and Kashmir,19.56
Jharkhand,9.8
Karnataka,91.81
Kerala,90.75
Lakshadweep,100
Madhya Pradesh,20.57
Maharashtra,74.05
Manipur,23.05
Meghalaya,14.02
Mizoram,42.49
Nagaland,34.96
Orissa,20.4
Puducherry,99.86
Punjab,99.37
Rajasthan,39.39
Sikkim,60.03
Tamil Nadu,94.58
Tripura,14.32
Uttar Pradesh,29.27
Uttarakhand,40.78
West Bengal,28.84
