State/UT,full-time-teachers-percentage,computer-availability-schools-percentage,mid-day-meal-school-percentage,#schools-100-people,pucca-building-type-schools-percentage,hand-wash-facility-percentage,#teachers-100-people,toilet-facility-schools-percentage,private-schools-percentage,drinking-water-schools-percentage,play-ground-school-percentage,students-pass-percentage,Trained-teachers-percentage,text-books-received-schools-percentage,boundary-wall-schools-percentage,#students-100-people,govt-schools-percentage,electricity-connection-school-percentage,School-drop-out-percentage,literacy-rate
Andaman and Nicobar Islands,88.9627659574468,81.09,94.28,0.4119028703671721,71.27882599580713,39.65,4.081033470346449,81.28,33.123689727463315,95.81,54.99,77.4793553277217,98.25,84.12,48.52,86.58422852405788,66.87631027253668,86.21,21.1,87.5
Andhra Pradesh,92.56356607037615,67.09,95.9,0.4579594215559194,75.58131490549069,13.68,1.7296977354465797,53.005,40.70472661864974,90.51,57.53,79.5716603287904,91.75,97.83,56.09,64.0947675690396,59.29527338135026,67.12,46.2,70.0
Arunachal Pradesh,69.96950374272247,68.78,84.26,0.5782229823275511,78.2121299223915,9.47,2.716767136857186,66.21,22.937625754527158,78.16,33.17,86.03701821401053,30.75,80.67,29.99,70.96552767209988,77.06237424547284,20.72,61.7,71.5
Assam,83.49110109112047,70.42,89.87,0.4790841863374509,70.25196284702622,15.15,2.1742969584411003,81.095,29.72751064812439,76.12,51.95,85.39971994112601,45.5,95.8,24.76,49.47530689422803,70.2724893518756,11.5,77.4,79.0
Bihar,69.96099744764699,48.13,92.48,0.16632007132326082,80.2322266283078,10.52,0.664888010807119,81.01,10.881735479356193,91.86,32.9,88.17794457763411,92.0,93.12,44.55,55.932440332679796,89.11826452064379,4.33,62.2,68.5
Chandigarh,100.0,94.48,93.22,0.0896313944697716,58.78594249201278,50.54,1.7943460630913382,98.66,63.897763578274756,100.0,95.21,77.53405521507071,97.25,95.45,100.0,70.92792834070241,36.102236421725244,100.0,,83.5
Chhattisgarh,47.43319690419412,63.87,97.08,0.6096674336702357,82.67734781025523,23.89,1.817559306045928,62.325,20.798437551723,93.59,40.84,84.92500761770233,73.0,90.86,71.92,66.99440655508032,79.201562448277,22.59,58.0,75.0
Dadra and Nagar Haveli,65.1685393258427,73.79,99.65,0.27726503911831263,81.05849582172702,11.48,1.3477088948787062,85.815,22.284122562674092,96.3,36.19,85.77141679896262,95.75,98.91,39.39,63.730025718456275,77.7158774373259,76.43,54.7,77.0
Daman and Diu,66.25954198473282,,97.83,0.20225622471797192,68.94409937888199,13.21,1.6331247958594006,95.755,40.993788819875775,100.0,53.33,80.76310861423221,96.25,86.6,91.82,53.66699329162584,59.006211180124225,100.0,28.3,85.5
Delhi,91.9521615629763,90.21,8.66,0.11840916471479017,71.34155184916607,58.13,1.8120637901683128,100.0,59.144307469180575,100.0,73.88,78.0979846183662,100.0,94.53,98.07,82.94061389699417,40.85569253081943,98.96,,84.0
Goa,95.1985992074463,79.81,96.97,0.6536438391815939,59.150076569678404,45.79,2.6959054668848816,82.175,60.33690658499234,98.93,42.62,80.50586057988896,96.0,88.06,74.51,81.53556252909115,39.66309341500766,97.38,,88.5
Gujarat,92.639541439579,72.97,89.94,0.28742655592115995,73.05645852538287,25.93,1.5215111349028239,96.335,47.26440573803632,97.89,73.82,83.63559423203436,75.0,96.3,88.58,65.26026157847954,52.73559426196368,97.48,57.9,79.0
Haryana,99.21682215395,74.75,97.14,0.3294982185825223,61.55359215787436,26.11,1.0956782630305697,92.035,53.89849090674578,99.0,76.75,78.77395405914255,100.0,96.42,95.62,65.2475534396025,46.10150909325422,94.7,,77.0
Himachal Pradesh,78.79831787545365,70.93,99.41,1.0250910853061004,69.9465989669964,40.39,3.5736848717626577,86.485,33.48069683970936,97.55,83.88,76.78723020121973,100.0,79.86,45.42,86.73569108171654,66.51930316029065,60.78,16.0,86.5
Jammu and Kashmir,78.96904020594937,71.83,96.9,0.6184570112320041,71.94510857105426,23.65,2.2615113255839008,59.56,29.14551468902499,86.93,35.99,82.07724571595698,50.25,96.9,31.45,60.94514766565039,70.85448531097502,19.56,43.6,70.0
Jharkhand,,72.05,97.09,0.33711473106625245,84.57026214009454,6.52,0.8516384435092702,74.215,18.025354533734426,87.37,31.33,89.9692933496198,,94.77,25.2,61.9696409858498,81.9746454662656,9.8,69.5,71.5
Karnataka,84.85020818976379,81.11,97.16,0.45854621696187,72.26578357013139,10.14,1.9556131572638649,97.315,45.12231599188121,94.71,62.79,80.6988421485188,100.0,96.87,69.1,66.8740256321506,54.87768400811879,91.81,43.3,77.5
Kerala,98.56959901077549,80.15,95.82,0.1835946208947864,77.64443682496143,27.38,2.143227725421177,79.26,71.83267615292303,99.35,68.31,76.44716168344357,100.0,89.57,79.42,78.64087102265425,28.16732384707697,90.75,,94.0
Lakshadweep,100.0,90.7,97.83,0.31222123104371097,73.01587301587301,40.79,3.835860838537021,68.18,26.984126984126984,100.0,38.64,76.50172003175443,100.0,77.27,45.65,93.64158985033205,73.01587301587301,100.0,31.3,92.0
Madhya Pradesh,100.0,65.33,97.83,0.5649844650797641,78.74633426633719,28.98,1.851340282863055,67.7,32.16859642625121,91.17,56.71,84.34292104462983,83.0,86.05,42.35,77.01963139292592,67.83140357374879,20.57,51.1,73.5
Maharashtra,81.46281644003021,73.35,94.28,0.3187961656782317,77.05873998512912,33.77,1.915067483409,86.95,44.54246973608361,92.16,75.01,79.77353744724725,96.75,97.25,58.55,71.91389986651774,55.45753026391639,74.05,38.2,83.0
Manipur,97.33252608711136,66.34,96.33,0.4639732089552941,53.2725430597771,14.52,2.630027669162188,71.335,47.23404255319149,89.2,51.15,84.13925937269387,39.0,79.63,30.38,71.21711407723859,52.76595744680851,23.05,45.3,80.5
