State/UT,full-time-teachers-percentage
Andaman and Nicobar Islands,88.9627659574468
Andhra Pradesh,92.56356607037614
Arunachal Pradesh,69.96950374272248
Assam,83.49110109112047
Bihar,69.96099744764699
Chandigarh,100.0
Chhattisgarh,47.43319690419412
Dadra and Nagar Haveli,65.1685393258427
Daman and Diu,66.25954198473282
Delhi,91.9521615629763
Goa,95.19859920744632
Gujarat,92.63954143957902
Haryana,99.21682215394999
Himachal Pradesh,78.79831787545365
Jammu and Kashmir,78.96904020594936
Jharkhand,
Karnataka,84.8502081897638
Kerala,98.56959901077548
Lakshadweep,100.0
Madhya Pradesh,100.0
Maharashtra,81.46281644003021
Manipur,97.33252608711136
Meghalaya,100.0
Mizoram,71.5799886941775
Nagaland,91.98490035993328
Orissa,63.146976565446664
Puducherry,
Punjab,86.08622800799124
Rajasthan,87.50477763586252
Sikkim,76.07210469997531
Tamil Nadu,100.0
Tripura,73.53354784888572
Uttar Pradesh,100.0
Uttarakhand,79.57705893288716
West Bengal,96.94531848465334
