State/UT,govt-schools-percentage
Andaman and Nicobar Islands,66.87631027253668
Andhra Pradesh,59.29527338135026
Arunachal Pradesh,77.06237424547284
Assam,70.2724893518756
Bihar,89.1182645206438
Chandigarh,36.10223642172524
Chhattisgarh,79.201562448277
Dadra and Nagar Haveli,77.7158774373259
Daman and Diu,59.006211180124225
Delhi,40.85569253081943
Goa,39.66309341500766
Gujarat,52.735594261963676
Haryana,46.10150909325422
Himachal Pradesh,66.51930316029065
Jammu and Kashmir,70.85448531097501
Jharkhand,81.97464546626559
Karnataka,54.87768400811879
Kerala,28.167323847076975
Lakshadweep,73.01587301587301
Madhya Pradesh,67.83140357374879
Maharashtra,55.45753026391639
Manipur,52.765957446808514
Meghalaya,46.92982456140351
Mizoram,47.39091318038687
Nagaland,67.0636270840422
Orissa,59.66349532690674
Puducherry,43.224530168150345
Punjab,68.57447687224669
Rajasthan,59.39272940305871
Sikkim,57.07997065297139
Tamil Nadu,69.37291553556193
Tripura,79.59105675520733
Uttar Pradesh,63.09309372947085
Uttarakhand,67.31438401689017
West Bengal,76.3765491079705
