State/UT,#Expected Students
Andaman and Nicobar Islands,115804.0
Andhra Pradesh,28407102.0
Arunachal Pradesh,601671.0
Assam,12202657.0
Bihar,46396084.0
Chandigarh,349208.0
Chhattisgarh,9909993.0
Dadra and Nagar Haveli,129479.0
Daman and Diu,79602.0
Delhi,5823029.0
Goa,399606.0
Gujarat,21512626.0
Haryana,9411887.0
Himachal Pradesh,2228680.0
Jammu and Kashmir,4936964.0
Jharkhand,13805389.0
Karnataka,20414518.0
Kerala,9531325.0
Lakshadweep,20178.0
Madhya Pradesh,29151421.0
Maharashtra,37546562.0
Manipur,1063639.0
Meghalaya,1324085.0
Mizoram,415585.0
Nagaland,844363.0
Orissa,14831228.0
Puducherry,366882.0
Punjab,9286252.0
Rajasthan,28555970.0
Sikkim,222621.0
Tamil Nadu,21573469.0
Tripura,1276987.0
Uttar Pradesh,88270063.0
Uttarakhand,3957398.0
West Bengal,31768274.0
