State/UT,literacy-rate
Andhra Pradesh,70
Arunachal Pradesh,71.5
Assam,79
Bihar,68.5
Chhattisgarh,75
Goa,88.5
Gujarat,79
Haryana,77
Himachal Pradesh,86.5
Jammu and Kashmir,70
Jharkhand,71.5
Karnataka,77.5
Kerala,94
Madhya Pradesh,73.5
Maharashtra,83
Manipur,80.5
Meghalaya,80.5
Mizoram,91
Nagaland,82.5
Orissa,78
Punjab,77
Rajasthan,70.5
Sikkim,84
Tamil Nadu,80.5
Tripura,89.5
Uttar Pradesh,70.5
Uttarakhand,80.5
West Bengal,78.5
Andaman and Nicobar Islands,87.5
Chandigarh,83.5
Dadra and Nagar Haveli,77
Daman and Diu,85.5
Delhi,84
Lakshadweep,92
Puducherry,
