State/UT,mid-day-meal-school-percentage
Andaman and Nicobar Islands,94.28
Andhra Pradesh,95.9
Arunachal Pradesh,84.26
Assam,89.87
Bihar,92.48
Chandigarh,93.22
Chhattisgarh,97.08
Dadra and Nagar Haveli,99.65
Daman and Diu,97.83
Delhi,8.66
Goa,96.97
Gujarat,89.94
Haryana,97.14
Himachal Pradesh,99.41
Jammu and Kashmir,96.9
Jharkhand,97.09
Karnataka,97.16
Kerala,95.82
Lakshadweep,97.83
Madhya Pradesh,97.83
Maharashtra,94.28
Manipur,96.33
Meghalaya,89.43
Mizoram,93.18
Nagaland,74.13
Orissa,94.45
Puducherry,96.59
Punjab,87.49
Rajasthan,75.41
Sikkim,91.08
Tamil Nadu,97.64
Tripura,99.43
Uttar Pradesh,89.21
Uttarakhand,97.33
West Bengal,86.82
