State/UT,Annual Income of the Household (in Rs.)
Andhra Pradesh,16672.7
Arunachal Pradesh,18290.5
Bihar,23530.2
Haryana,27229.0
Himachal Pradesh,37097.5
Jammu and Kashmir,31536.0
Jharkhand,22210.7
Karnataka,20028.6
Kerala,35021.1
Madhya Pradesh,23112.7
Maharashtra,38917.7
Meghalaya,26882.4
Punjab,35671.6
Rajasthan,28821.1
Tamil Nadu,24986.9
Uttar Pradesh,23400.7
West Bengal,33082.2
Delhi,
Uttarakhand,
Lakshadweep,
Chandigarh,
Manipur,
Chhattisgarh,
Sikkim,
Orissa,
Dadra and Nagar Haveli,
Mizoram,
Andaman and Nicobar Islands,
Daman and Diu,
Assam,
Tripura,
Nagaland,
Puducherry,
Gujarat,
Goa,
