State/UT,Cultivation/Allied Agricultural Activity (in percent),Agricultural /Other Labour (in percent),Household Industry/trade/Business (in percent),Service/ Others (in percent)
Andhra Pradesh,22.26,60.24,5.93,11.57
Arunachal Pradesh,77.7,9.46,7.43,5.41
Bihar,22.67,50.13,21.41,5.79
Haryana,24.0,52.5,12.5,11.0
Himachal Pradesh,38.0,28.0,11.5,22.5
Jammu and Kashmir,58.0,18.0,10.0,14.0
Jharkhand,13.42,55.37,17.11,14.09
Karnataka,13.68,54.74,10.18,21.4
Kerala,65.12,20.35,1.16,13.37
Madhya Pradesh,37.5,42.25,7.5,12.75
Maharashtra,27.57,32.97,8.38,31.08
Meghalaya,59.48,15.03,16.99,8.5
Punjab,14.67,70.65,9.78,4.89
Rajasthan,29.75,39.25,10.75,20.25
Tamil Nadu,17.79,71.53,6.05,4.63
Uttar Pradesh,49.74,29.74,11.03,9.49
West Bengal,17.83,36.09,10.87,35.22
Delhi,,,,
Uttarakhand,,,,
Lakshadweep,,,,
Chandigarh,,,,
Manipur,,,,
Chhattisgarh,,,,
Sikkim,,,,
Orissa,,,,
Dadra and Nagar Haveli,,,,
Mizoram,,,,
Andaman and Nicobar Islands,,,,
Daman and Diu,,,,
Assam,,,,
Tripura,,,,
Nagaland,,,,
Puducherry,,,,
Gujarat,,,,
Goa,,,,
