State/UT,Opinion of Parents: Quality of Meal (in percent) - Good,Opinion of Parents: Quality of Meal (in percent) - Average,Opinion of Parents: Quality of Meal (in percent) - Poor
Andhra Pradesh,71.22,23.84,4.94
Arunachal Pradesh,100.0,0.0,0.0
Bihar,2.53,28.35,69.11
Haryana,44.72,51.76,3.52
Himachal Pradesh,70.35,29.65,0.0
Jammu and Kashmir,72.0,28.0,0.0
Jharkhand,20.34,65.76,13.9
Karnataka,4.29,90.36,5.36
Kerala,70.41,26.63,2.96
Madhya Pradesh,24.25,70.75,5.0
Maharashtra,90.71,9.02,0.27
Meghalaya,100.0,0.0,0.0
Punjab,69.19,29.29,1.52
Rajasthan,80.56,6.57,12.88
Tamil Nadu,65.23,32.26,2.51
Uttar Pradesh,41.58,55.78,2.64
West Bengal,68.78,26.7,4.52
Delhi,,,
Uttarakhand,,,
Lakshadweep,,,
Chandigarh,,,
Manipur,,,
Chhattisgarh,,,
Sikkim,,,
Orissa,,,
Dadra and Nagar Haveli,,,
Mizoram,,,
Andaman and Nicobar Islands,,,
Daman and Diu,,,
Assam,,,
Tripura,,,
Nagaland,,,
Puducherry,,,
Gujarat,,,
Goa,,,
