State/UT,% of Schools with Attendance Rates - 90-100%,% of Schools with Attendance Rates - 75-90%,% of Schools with Attendance Rates - 45-75%,% of Schools with Attendance Rates - less than 45%,% of Schools Serving Midday Meals
Andhra Pradesh,66.68,29.16,4.16,0.0,100.0
Assam,20.87,25.0,45.8,8.33,62.5
Bihar,0.0,0.0,72.0,28.0,60.0
Chandigarh,33.3,33.3,0.0,33.3,100.0
Haryana,30.72,53.8,15.3,0.0,69.2
Himachal Pradesh,46.1,46.21,7.69,0.0,69.2
Madhya Pradesh,5.5,50.0,44.4,0.0,83.3
Rajasthan,10.56,73.65,15.77,0.0,100.0
Uttar Pradesh,3.12,15.6,50.6,31.2,93.7
Tamil Nadu,96.66,3.33,0.0,0.0,100.0
West Bengal,42.86,38.09,9.52,9.52,100.0
Delhi,,,,,
Meghalaya,,,,,
Manipur,,,,,
Tripura,,,,,
Lakshadweep,,,,,
Uttarakhand,,,,,
Karnataka,,,,,
Punjab,,,,,
Dadra and Nagar Haveli,,,,,
Gujarat,,,,,
Maharashtra,,,,,
Nagaland,,,,,
Jharkhand,,,,,
Arunachal Pradesh,,,,,
Mizoram,,,,,
Andaman and Nicobar Islands,,,,,
Puducherry,,,,,
Orissa,,,,,
Goa,,,,,
Chhattisgarh,,,,,
Sikkim,,,,,
Daman and Diu,,,,,
Jammu and Kashmir,,,,,
Kerala,,,,,
