State/UT,Availability of Store Rooms in Schools(% age),Condition of Store Rooms (%age)- Good,Condition of Store Rooms (%age)- Average,Condition of Store Rooms (%age)- Poor,Functionality (%age)
Andhra Pradesh,27.5,90.91,9.09,0.0,61.53
Arunachal Pradesh,5.88,100.0,0.0,0.0,100.0
Bihar,50.0,52.63,31.58,15.79,84.21
Haryana,0.0,,,,
Himachal Pradesh,10.0,50.0,50.0,0.0,100.0
Jammu and Kashmir,0.0,,,,0.0
Jharkhand,33.33,30.0,60.0,10.0,100.0
Karnataka,42.86,61.54,23.08,15.38,100.0
Kerala,25.0,40.0,20.0,40.0,50.0
Madhya Pradesh,17.5,71.43,28.57,0.0,100.0
Maharashtra,2.56,100.0,0.0,0.0,100.0
Meghalaya,10.0,66.67,33.33,0.0,66.67
Punjab,0.0,,,,
Rajasthan,37.5,60.0,33.33,6.67,100.0
Tamil Nadu,73.33,30.43,69.57,0.0,95.45
Uttar Pradesh,5.0,0.0,50.0,50.0,100.0
West Bengal,6.67,100.0,0.0,0.0,66.67
Delhi,,,,,
Uttarakhand,,,,,
Lakshadweep,,,,,
Chandigarh,,,,,
Manipur,,,,,
Chhattisgarh,,,,,
Sikkim,,,,,
Orissa,,,,,
Dadra and Nagar Haveli,,,,,
Mizoram,,,,,
Andaman and Nicobar Islands,,,,,
Daman and Diu,,,,,
Assam,,,,,
Tripura,,,,,
Nagaland,,,,,
Puducherry,,,,,
Gujarat,,,,,
Goa,,,,,
