State/UT,Availability of Kitchen Sheds in the School (% age),Condition of Kitchen Shed (%age)- Good,Condition of Kitchen Shed (%age)- Average,Condition of Kitchen Shed (%age)- Poor,Functional (%age)
Andhra Pradesh,37.5,73.33,20.0,6.67,76.0
Arunachal Pradesh,11.76,50.0,0.0,50.0,100.0
Bihar,42.5,38.89,11.11,50.0,72.0
Haryana,0.0,,,,
Himachal Pradesh,5.0,100.0,0.0,0.0,50.0
Jammu and Kashmir,0.0,,,,
Jharkhand,33.33,45.45,27.27,27.27,100.0
Karnataka,75.0,47.62,33.33,19.05,95.23
Kerala,100.0,30.0,40.0,30.0,95.0
Madhya Pradesh,42.5,76.47,23.53,0.0,100.0
Maharashtra,20.0,62.5,25.0,12.5,100.0
Meghalaya,20.0,75.0,25.0,0.0,100.0
Punjab,0.0,,,,
Rajasthan,60.0,66.67,33.33,0.0,79.16
Tamil Nadu,100.0,13.33,66.67,20.0,96.67
Uttar Pradesh,47.5,94.74,5.26,0.0,94.73
West Bengal,80.0,16.67,62.5,20.83,95.83
Puducherry,,,,,
Delhi,,,,,
Assam,,,,,
Andaman and Nicobar Islands,,,,,
Uttarakhand,,,,,
Daman and Diu,,,,,
Dadra and Nagar Haveli,,,,,
Nagaland,,,,,
Sikkim,,,,,
Chandigarh,,,,,
Orissa,,,,,
Mizoram,,,,,
Tripura,,,,,
Chhattisgarh,,,,,
Gujarat,,,,,
Lakshadweep,,,,,
Manipur,,,,,
Goa,,,,,
