State/UT,With Pucca building,With Boundary wall,With Drinking water,With Common toilet,With toilets for girls,With Blackboard,With Electricity,With Computer centre,With TLM,With 1-3 classrooms
Andhra Pradesh,91.6,58.3,87.5,79.1,41.6,100.0,41.6,12.5,100.0,54.0
Assam,62.5,33.3,95.8,83.3,41.6,100.0,8.3,4.1,91.6,79.0
Bihar,100.0,52.0,84.0,64.0,40.0,92.0,4.0,8.0,8.0,36.0
Chandigarh,100.0,100.0,100.0,100.0,66.6,100.0,100.0,66.6,66.6,0.0
Haryana,92.3,92.3,84.6,84.6,61.5,92.3,76.9,7.6,38.4,15.0
Himachal Pradesh,69.2,46.1,84.6,76.9,46.1,84.6,69.2,15.3,38.4,46.0
Madhya Pradesh,100.0,11.1,94.4,77.7,33.3,100.0,16.6,5.5,100.0,83.0
Rajasthan,100.0,47.37,73.6,84.2,57.8,100.0,5.2,0.0,84.2,68.0
Tamil Nadu,73.3,70.0,96.6,83.3,40.0,96.6,62.5,33.3,93.3,50.0
Uttar Pradesh,96.8,59.3,100.0,93.7,87.5,100.0,15.6,3.1,90.6,53.0
West Bengal,95.0,40.0,95.0,90.0,45.0,90.0,35.0,10.0,70.0,65.0
Delhi,,,,,,,,,,
Meghalaya,,,,,,,,,,
Manipur,,,,,,,,,,
Tripura,,,,,,,,,,
Lakshadweep,,,,,,,,,,
Uttarakhand,,,,,,,,,,
Karnataka,,,,,,,,,,
Punjab,,,,,,,,,,
Dadra and Nagar Haveli,,,,,,,,,,
Gujarat,,,,,,,,,,
Maharashtra,,,,,,,,,,
Nagaland,,,,,,,,,,
Jharkhand,,,,,,,,,,
Arunachal Pradesh,,,,,,,,,,
Mizoram,,,,,,,,,,
Andaman and Nicobar Islands,,,,,,,,,,
Puducherry,,,,,,,,,,
Orissa,,,,,,,,,,
Goa,,,,,,,,,,
Chhattisgarh,,,,,,,,,,
Sikkim,,,,,,,,,,
Daman and Diu,,,,,,,,,,
Jammu and Kashmir,,,,,,,,,,
Kerala,,,,,,,,,,
