State/UT,Primary/Junior Basic Schools(#) - Total - 2008-09,Primary/Junior Basic Schools(#) - Total - 2009-10,Primary/Junior Basic Schools(#) - Total - 2010-11,Primary/Junior Basic Schools(#) - Women - 2008-09,Primary/Junior Basic Schools(#) - Women - 2009-10,Primary/Junior Basic Schools(#) - Women - 2010-11,Primary/Junior Basic Schools(#) - % age of Trained Teachers - 2008-09,Primary/Junior Basic Schools(#) - % age of Trained Teachers - 2009-10,Primary/Junior Basic Schools(#) - % age of Trained Teachers - 2010-11,Middle/Senior Basic Schools - Total - 2008-09,Middle/Senior Basic Schools - Total - 2009-10,Middle/Senior Basic Schools - Total - 2010-11,Middle/Senior Basic Schools - Women - 2008-09,Middle/Senior Basic Schools - Women - 2009-10,Middle/Senior Basic Schools - Women - 2010-11,Middle/Senior Basic Schools - % age of Trained Teachers - 2008-09,Middle/Senior Basic Schools - % age of Trained Teachers - 2009-10,Middle/Senior Basic Schools - % age of Trained Teachers - 2010-11,High/Post Basic Schools - Total - 2008-09,High/Post Basic Schools - Total - 2009-10,High/Post Basic Schools - Total - 2010-11,High/Post Basic Schools - Women - 2008-09,High/Post Basic Schools - Women - 2009-10,High/Post Basic Schools - Women - 2010-11,High/Post Basic Schools - % age of Trained Teachers - 2008-09,High/Post Basic Schools - % age of Trained Teachers - 2009-10,High/Post Basic Schools - % age of Trained Teachers - 2010-11,Higher Secondary Schools (**) - Total - 2008-09,Higher Secondary Schools (**) - Total - 2009-10,Higher Secondary Schools (**) - Total - 2010-11,Higher Secondary Schools (**) - Women - 2008-09,Higher Secondary Schools (**) - Women - 2009-10,Higher Secondary Schools (**) - Women - 2010-11,Higher Secondary Schools (**) - % age of Trained Teachers - 2008-09,Higher Secondary Schools (**) - % age of Trained Teachers - 2009-10,Higher Secondary Schools (**) - % age of Trained Teachers - 2010-11,Total No. of Teachers in all Schools - Total - 2008-09,Total No. of Teachers in all Schools - Women - 2008-09,Total No. of Teachers in all Schools - Total - 2009-10,Total No. of Teachers in all Schools - Women - 2009-10,Total No. of Teachers in all Schools - Total - 2010-11,Total No. of Teachers in all Schools - Women - 2010-11
Andhra Pradesh,183197.0,169159.0,174069.0,87711.0,83045.0,87984.0,93.0,93.0,93.0,94662.0,90077.0,93003.0,41311.0,40507.0,42907.0,88.0,88.0,88.0,167159.0,187709.0,205179.0,68146.0,75708.0,83344.0,96.0,96.0,96.0,46339.0,46339.0,52046.0,12907.0,12907.0,14468.0,90.0,90.0,90.0,491357.0,493284.0,210075.0,212167.0,524297.0,228703.0
Arunachal Pradesh,6306.0,6363.0,6639.0,2145.0,2174.0,2418.0,11.0,9.0,7.0,5191.0,5792.0,5805.0,1836.0,2046.0,2068.0,17.0,18.0,16.0,2407.0,2734.0,2793.0,756.0,875.0,919.0,37.0,36.0,34.0,2442.0,2719.0,2798.0,550.0,659.0,679.0,62.0,60.0,60.0,16346.0,17608.0,5287.0,5754.0,18035.0,6084.0
Assam,89102.0,86676.0,86676.0,31265.0,31562.0,31562.0,64.0,83.0,83.0,100129.0,81637.0,81537.0,26129.0,19541.0,19541.0,90.0,41.0,41.0,58013.0,61012.0,61551.0,14363.0,15308.0,15801.0,29.0,29.0,29.0,18078.0,16845.0,17963.0,5384.0,4976.0,5324.0,29.0,29.0,29.0,265322.0,246170.0,77141.0,71387.0,247727.0,72228.0
Bihar,147341.0,141298.0,159910.0,53804.0,53535.0,62395.0,85.0,85.0,85.0,117992.0,124342.0,146645.0,42225.0,45807.0,56144.0,90.0,90.0,90.0,27406.0,25593.0,24186.0,4234.0,3805.0,3791.0,98.0,98.0,98.0,15743.0,31837.0,38722.0,2463.0,9678.0,11390.0,95.0,95.0,95.0,308482.0,323070.0,102726.0,112825.0,369463.0,133720.0
Chhattisgarh,96314.0,107481.0,110405.0,32751.0,39519.0,41681.0,67.0,72.0,72.0,45952.0,53995.0,55173.0,14095.0,18864.0,20040.0,72.0,74.0,73.0,15702.0,12206.0,13517.0,6786.0,4455.0,5190.0,73.0,68.0,70.0,22152.0,28303.0,29316.0,7032.0,9789.0,10329.0,70.0,78.0,78.0,180120.0,201985.0,60664.0,72627.0,208411.0,77240.0
Goa,3812.0,3904.0,3950.0,3389.0,3524.0,3577.0,94.0,94.0,94.0,2228.0,2515.0,2428.0,1606.0,1808.0,1732.0,100.0,99.0,100.0,3446.0,3218.0,3055.0,2028.0,1930.0,1858.0,100.0,100.0,100.0,1287.0,1349.0,1418.0,698.0,742.0,808.0,92.0,91.0,92.0,10773.0,10986.0,7721.0,8004.0,10851.0,7975.0
Gujarat,44480.0,44946.0,0.0,17474.0,17504.0,0.0,100.0,100.0,0.0,198436.0,199385.0,244331.0,106873.0,106922.0,124426.0,100.0,100.0,100.0,36714.0,42829.0,40048.0,9890.0,11930.0,12433.0,100.0,100.0,100.0,47687.0,43946.0,34881.0,14836.0,14187.0,11394.0,100.0,100.0,100.0,327317.0,331106.0,149073.0,150543.0,319260.0,148253.0
Haryana,22916.0,31574.0,28000.0,11835.0,15277.0,13170.0,95.0,95.0,95.0,15610.0,20128.0,22835.0,7250.0,8870.0,9550.0,85.0,85.0,85.0,25888.0,36947.0,36947.0,11128.0,16201.0,16201.0,94.0,94.0,94.0,38710.0,54459.0,54459.0,18237.0,,25699.0,97.0,97.0,97.0,103124.0,143108.0,48450.0,40348.0,142241.0,64620.0
Himachal Pradesh,30162.0,30336.0,29762.0,13793.0,13484.0,13535.0,100.0,100.0,100.0,26427.0,34389.0,28011.0,9147.0,14357.0,10630.0,100.0,100.0,100.0,6301.0,8841.0,10022.0,2325.0,4316.0,5238.0,100.0,100.0,100.0,16756.0,16885.0,19000.0,5864.0,5950.0,7735.0,100.0,100.0,100.0,79646.0,90451.0,31129.0,38107.0,86795.0,37138.0
Jammu and Kashmir,31899.0,59376.0,59376.0,13077.0,23466.0,23466.0,53.0,40.0,40.0,50232.0,45151.0,45151.0,21096.0,20144.0,20144.0,61.0,48.0,48.0,19358.0,25370.0,25370.0,7633.0,11060.0,11060.0,64.0,54.0,54.0,10161.0,18489.0,18489.0,3988.0,7732.0,7732.0,66.0,59.0,59.0,111650.0,148386.0,45794.0,62402.0,148386.0,62402.0
