State/UT,Children Involvement and Time Spent (Hrs/Week)- Washing utensils -Involvement percetage,Children Involvement and Time Spent (Hrs/Week)-Washing utensils -Average Time Spent
Andhra Pradesh,,
Arunachal Pradesh,38.14,2.2
Bihar,,
Haryana,,
Himachal Pradesh,,
Jammu and Kashmir,16.67,0.15
Jharkhand,,
Karnataka,,
Kerala,,
Madhya Pradesh,28.48,1.69
Maharashtra,8.11,1.32
Meghalaya,33.33,0.6
Punjab,2.83,3.0
Rajasthan,48.81,9.83
Tamil Nadu,,
Uttar Pradesh,8.48,6.0
West Bengal,45.1,8.57
Delhi,,
Uttarakhand,,
Lakshadweep,,
Chandigarh,,
Manipur,,
Chhattisgarh,,
Sikkim,,
Orissa,,
Dadra and Nagar Haveli,,
Mizoram,,
Andaman and Nicobar Islands,,
Daman and Diu,,
Assam,,
Tripura,,
Nagaland,,
Puducherry,,
Gujarat,,
Goa,,
