State/UT,% schools with only male teachers,% Schools with PTR less than 40,% Multi-grade schools,% Single teacher schools,% Schools with Graduate teachers,Average number of teachers per school,Teacher Vacancies in schools (% of posts),Teachers recruited under SSA (% of total teachers)
Andhra Pradesh,20.8,83.3,45.8,4.1,78.0,4.0,2.1,128.8
Assam,62.5,41.6,16.6,12.5,25.8,4.0,15.4,10.2
Bihar,32.0,24.0,44.0,0.0,35.8,4.5,31.6,78.0
Chandigarh,0.0,100.0,33.3,0.0,63.6,17.6,18.9,18.8
Haryana,15.4,78.5,53.8,14.2,77.2,3.0,36.2,29.7
Himachal Pradesh,21.4,92.3,61.5,15.3,50.0,3.6,21.3,31.9
Madhya Pradesh,44.4,61.1,100.0,0.0,68.0,3.2,38.0,43.1
Rajasthan,47.4,68.4,78.9,21.0,73.6,3.5,0.0,7.5
Tamil Nadu,10.0,93.3,90.0,0.0,44.0,5.9,6.8,5.6
Uttar Pradesh,21.9,31.2,62.5,12.5,70.7,3.0,46.0,69.3
West Bengal,20.0,40.0,55.0,0.0,61.2,6.2,13.0,29.8
Delhi,,,,,,,,
Meghalaya,,,,,,,,
Manipur,,,,,,,,
Tripura,,,,,,,,
Lakshadweep,,,,,,,,
Uttarakhand,,,,,,,,
Karnataka,,,,,,,,
Punjab,,,,,,,,
Dadra and Nagar Haveli,,,,,,,,
Gujarat,,,,,,,,
Maharashtra,,,,,,,,
Nagaland,,,,,,,,
Jharkhand,,,,,,,,
Arunachal Pradesh,,,,,,,,
Mizoram,,,,,,,,
Andaman and Nicobar Islands,,,,,,,,
Puducherry,,,,,,,,
Orissa,,,,,,,,
Goa,,,,,,,,
Chhattisgarh,,,,,,,,
Sikkim,,,,,,,,
Daman and Diu,,,,,,,,
Jammu and Kashmir,,,,,,,,
Kerala,,,,,,,,
