State/UT,% of Students who Reported Teachers Attend Regularly,% of Students who Reported Punishment by Teachers
Andhra Pradesh,97.4,16.1
Assam,99.4,0.0
Bihar,99.5,14.0
Chandigarh,87.5,12.5
Haryana,97.0,9.6
Himachal Pradesh,91.4,26.2
Madhya Pradesh,92.3,0.01
Rajasthan,100.0,0.0
Tamil Nadu,100.0,0.0
Uttar Pradesh,88.0,16.2
West Bengal,96.3,11.3
Delhi,,
Meghalaya,,
Manipur,,
Tripura,,
Lakshadweep,,
Uttarakhand,,
Karnataka,,
Punjab,,
Dadra and Nagar Haveli,,
Gujarat,,
Maharashtra,,
Nagaland,,
Jharkhand,,
Arunachal Pradesh,,
Mizoram,,
Andaman and Nicobar Islands,,
Puducherry,,
Orissa,,
Goa,,
Chhattisgarh,,
Sikkim,,
Daman and Diu,,
Jammu and Kashmir,,
Kerala,,
