State/UT,Teachers Trained
Andhra Pradesh,94.7
Assam,98.1
Bihar,70.5
Chandigarh,100.0
Haryana,99.3
Himachal Pradesh,99.6
Madhya Pradesh,95.6
Rajasthan,83.3
Tamil Nadu,99.2
Uttar Pradesh,69.5
West Bengal,41.2
Delhi,
Meghalaya,
Manipur,
Tripura,
Lakshadweep,
Uttarakhand,
Karnataka,
Punjab,
Dadra and Nagar Haveli,
Gujarat,
Maharashtra,
Nagaland,
Jharkhand,
Arunachal Pradesh,
Mizoram,
Andaman and Nicobar Islands,
Puducherry,
Orissa,
Goa,
Chhattisgarh,
Sikkim,
Daman and Diu,
Jammu and Kashmir,
Kerala,
