State/UT,1991 - Male,1991 - Female,1991 - Persons,2001 - Male,2001 - Female,2001 - Persons,2011 - Rural - Male,2011 - Rural - Female,2011 - Rural - Person,2011 - Urban - Male,2011 - Urban - Female,2011 - Urban - Persons
Andhra Pradesh,44.0,55.0,33.0,61.0,70.0,50.0,69.0,52.0,60.0,86.0,74.0,80.0
Arunachal Pradesh,42.0,52.0,30.0,54.0,64.0,44.0,67.0,52.0,60.0,88.0,77.0,83.0
Assam,53.0,62.0,43.0,63.0,71.0,55.0,75.0,63.0,69.0,92.0,85.0,89.0
Bihar,38.0,51.0,22.0,47.0,60.0,33.0,70.0,49.0,60.0,83.0,71.0,77.0
Chhattisgarh,43.0,58.0,28.0,65.0,77.0,52.0,77.0,55.0,66.0,91.0,77.0,84.0
Goa,76.0,84.0,67.0,82.0,88.0,75.0,92.0,82.0,87.0,93.0,87.0,90.0
Gujarat,61.0,73.0,49.0,69.0,80.0,58.0,82.0,61.0,72.0,91.0,81.0,86.0
Haryana,56.0,69.0,41.0,68.0,79.0,56.0,82.0,60.0,71.0,89.0,77.0,83.0
Himachal Pradesh,64.0,75.0,52.0,77.0,85.0,67.0,89.0,75.0,82.0,93.0,88.0,91.0
Jammu and Kashmir,0.0,0.0,0.0,56.0,67.0,43.0,74.0,52.0,63.0,84.0,69.0,77.0
Jharkhand,41.0,56.0,26.0,54.0,67.0,39.0,73.0,49.0,61.0,88.0,76.0,82.0
Karnataka,56.0,67.0,44.0,67.0,76.0,57.0,78.0,60.0,69.0,90.0,81.0,86.0
Kerala,90.0,94.0,86.0,91.0,94.0,88.0,95.0,91.0,93.0,97.0,93.0,95.0
Madhya Pradesh,45.0,59.0,29.0,64.0,76.0,50.0,75.0,52.0,64.0,89.0,77.0,83.0
Maharashtra,65.0,77.0,52.0,77.0,86.0,67.0,85.0,69.0,77.0,92.0,85.0,89.0
Manipur,60.0,72.0,48.0,71.0,80.0,61.0,83.0,69.0,76.0,92.0,79.0,85.0
Meghalaya,49.0,53.0,45.0,63.0,65.0,60.0,72.0,68.0,70.0,93.0,89.0,91.0
Mizoram,82.0,86.0,79.0,89.0,91.0,87.0,88.0,80.0,84.0,98.0,97.0,98.0
Nagaland,62.0,68.0,55.0,67.0,71.0,62.0,79.0,72.0,75.0,92.0,87.0,90.0
Orissa,49.0,63.0,35.0,63.0,75.0,51.0,80.0,61.0,70.0,91.0,80.0,86.0
Punjab,59.0,66.0,50.0,70.0,75.0,63.0,77.0,66.0,71.0,87.0,79.0,83.0
Rajasthan,39.0,55.0,20.0,60.0,76.0,44.0,76.0,46.0,61.0,88.0,71.0,80.0
Sikkim,57.0,66.0,47.0,69.0,76.0,60.0,85.0,72.0,79.0,92.0,85.0,89.0
Tamil Nadu,63.0,74.0,51.0,74.0,82.0,64.0,82.0,65.0,74.0,92.0,82.0,87.0
Tripura,60.0,71.0,50.0,73.0,81.0,65.0,90.0,80.0,85.0,96.0,91.0,94.0
Uttar Pradesh,41.0,55.0,24.0,56.0,69.0,42.0,76.0,54.0,66.0,80.0,69.0,75.0
Uttarakhand,58.0,73.0,42.0,72.0,83.0,60.0,87.0,66.0,76.0,89.0,79.0,85.0
West Bengal,58.0,68.0,47.0,69.0,77.0,60.0,79.0,66.0,72.0,88.0,81.0,85.0
Andaman and Nicobar Islands,73.0,79.0,66.0,81.0,86.0,75.0,89.0,80.0,85.0,93.0,87.0,90.0
Chandigarh,78.0,82.0,72.0,82.0,86.0,77.0,86.0,73.0,81.0,90.0,81.0,86.0
Dadra and Nagar Haveli,41.0,54.0,27.0,58.0,71.0,40.0,76.0,50.0,64.0,94.0,83.0,90.0
Daman and Diu,71.0,83.0,59.0,78.0,87.0,66.0,89.0,72.0,82.0,92.0,83.0,89.0
Delhi,75.0,82.0,67.0,82.0,87.0,75.0,89.0,73.0,82.0,91.0,81.0,86.0
Lakshadweep,82.0,90.0,73.0,87.0,93.0,81.0,95.0,89.0,92.0,96.0,88.0,92.0
Puducherry,,,,,,,,,,,,
