Sl. No.,State/UT,Type of School Building - Pucca,Type of School Building - Partly Pucca,Type of School Building - Kuchcha,Type of School Building - Tent,Type of School Building - Open Space,Total
1,Andaman and Nicobar Islands,46,6,1,0,0,53
2,Andhra Pradesh,2835,293,53,14,25,3220
3,Arunachal Pradesh,65,46,0,0,0,111
4,Assam,533,293,24,0,0,850
5,Bihar,1117,132,6,1,6,1262
6,Chandigarh,73,0,0,0,0,73
7,Chhattisgarh,2250,324,29,4,20,2627
8,Dadra and Nagar Haveli,10,0,0,0,0,10
9,Daman and Diu,11,0,0,0,0,11
10,Delhi,1253,91,1,1,0,1346
11,Goa,75,2,0,0,0,77
12,Gujarat,3004,122,17,3,5,3151
13,Haryana,3061,32,1,0,0,3094
14,Himachal Pradesh,1333,251,31,1,3,1619
15,Jammu and Kashmir,727,106,7,1,0,841
16,Jharkhand,330,19,0,1,1,351
17,Karnataka,2303,134,43,22,5,2507
18,Kerala,2113,189,4,3,0,2309
19,Lakshadweep,12,1,0,0,0,13
20,Madhya Pradesh,5315,366,28,1,8,5718
21,Maharashtra,4582,381,106,8,0,5077
22,Manipur,92,35,2,0,0,129
23,Meghalaya,72,43,2,0,0,117
24,Mizoram,61,34,5,0,0,100
25,Nagaland,62,28,1,0,0,91
26,Orissa,513,52,6,1,0,572
27,Puducherry,103,2,0,0,0,105
28,Punjab,2575,38,2,5,5,2625
29,Rajasthan,6041,111,4,9,0,6165
30,Sikkim,49,1,0,0,0,50
31,Tamil Nadu,4898,364,5,3,2,5272
32,Tripura,286,35,0,0,0,321
33,Uttar Pradesh,8245,407,11,8,4,8675
34,Uttarakhand,1392,193,6,0,3,1594
35,West Bengal,4055,202,3,2,0,4262
