Sl. No.,State/UT,Type of Management - Government,Type of Management - Local Body,Type of Management - Private Aided,Type of Management - Private Unaided
1,Andaman and Nicobar Islands,52,3,2,10
2,Andhra Pradesh,805,8655,545,5110
3,Arunachal Pradesh,766,9,17,117
4,Assam,6218,680,1892,164
5,Bihar,22282,80,383,30
6,Chandigarh,11,0,0,11
7,Chhattisgarh,13159,128,203,1407
8,Dadra and Nagar Haveli,89,1,1,3
9,Daman and Diu,26,4,1,1
10,Delhi,47,15,28,490
11,Goa,51,0,10,7
12,Gujarat,4513,20901,1015,3915
13,Haryana,2338,17,28,964
14,Himachal Pradesh,2480,45,20,421
15,Jammu and Kashmir,6754,246,102,1549
16,Jharkhand,12887,37,442,41
17,Karnataka,22147,215,2363,4236
18,Kerala,993,26,1842,216
19,Lakshadweep,10,0,0,0
20,Madhya Pradesh,28035,591,648,9624
21,Maharashtra,2236,19698,3028,2279
22,Manipur,314,13,98,274
23,Meghalaya,569,117,1533,69
24,Mizoram,646,58,197,227
25,Nagaland,350,7,19,149
26,Orissa,16469,142,1116,641
27,Puducherry,64,0,1,52
28,Punjab,3032,32,118,944
29,Rajasthan,23064,1740,610,10646
30,Sikkim,147,7,6,47
31,Tamil Nadu,4841,3433,1624,254
32,Tripura,1128,8,5,17
33,Uttar Pradesh,39380,2877,3696,18749
34,Uttarakhand,2909,20,239,1067
35,West Bengal,639,156,910,17
