School Type,State/UT,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Primary School,Andaman and Nicobar Islands,Total,900.0,788,956,954,891,990,1007,912.0,1028.0,1073.0
Primary School,Andaman and Nicobar Islands,Male,,401,422,414,383,406,390,367.0,400.0,398.0
Primary School,Andaman and Nicobar Islands,Female,,387,534,540,508,584,617,545.0,628.0,675.0
Primary School,Andhra Pradesh,Total,127321.0,179961,172601,166935,166790,167723,167059,183197.0,169159.0,174069.0
Primary School,Andhra Pradesh,Male,,104937,96649,91782,91079,89116,87704,95486.0,86114.0,86085.0
Primary School,Andhra Pradesh,Female,,75024,75952,75153,75711,78607,79355,87711.0,83045.0,87984.0
Primary School,Arunachal Pradesh,Total,3461.0,3218,3195,3630,3790,4069,4209,4307.0,4610.0,4976.0
Primary School,Arunachal Pradesh,Male,,2235,2259,2518,2511,2709,2940,2938.0,3125.0,3292.0
Primary School,Arunachal Pradesh,Female,,983,936,1112,1279,1360,1269,1369.0,1485.0,1684.0
Primary School,Assam,Total,87317.0,86112,83919,82888,80072,85691,89102,89102.0,86676.0,86676.0
Primary School,Assam,Male,,56833,55018,53811,51550,55990,57837,57837.0,55114.0,55114.0
Primary School,Assam,Female,,29279,28901,29077,28522,29701,31265,31265.0,31562.0,31562.0
Primary School,Bihar,Total,80917.0,78204,95815,73202,75703,98582,146893,147338.0,141295.0,159907.0
Primary School,Bihar,Male,,63973,78568,59187,60187,71263,93893,93535.0,87761.0,97513.0
Primary School,Bihar,Female,,14231,17247,14015,15516,27319,53000,53803.0,53534.0,62394.0
Primary School,Chandigarh,Total,285.0,300,315,258,231,428,448,368.0,385.0,222.0
Primary School,Chandigarh,Male,,37,62,46,46,67,76,36.0,40.0,26.0
Primary School,Chandigarh,Female,,263,253,212,185,361,372,332.0,345.0,196.0
Primary School,Chhattisgarh,Total,73871.0,58348,68512,68819,80659,75192,76525,94793.0,105037.0,107846.0
Primary School,Chhattisgarh,Male,,43468,50044,49712,55843,54167,55131,62888.0,67179.0,67874.0
Primary School,Chhattisgarh,Female,,14880,18468,19107,24816,21025,21394,31905.0,37858.0,39972.0
Primary School,Dadra and Nagar Haveli,Total,213.0,225,678,541,553,644,440,872.0,998.0,1019.0
Primary School,Dadra and Nagar Haveli,Male,,143,291,259,268,351,254,485.0,547.0,459.0
Primary School,Dadra and Nagar Haveli,Female,,82,387,282,285,293,186,387.0,451.0,560.0
Primary School,Daman and Diu,Total,397.0,277,426,426,467,467,495,405.0,405.0,512.0
Primary School,Daman and Diu,Male,,92,99,99,80,80,81,141.0,141.0,105.0
Primary School,Daman and Diu,Female,,185,327,327,387,387,414,264.0,264.0,407.0
Primary School,Delhi,Total,35449.0,22611,24699,24744,27431,23907,23326,26232.0,27983.0,28688.0
Primary School,Delhi,Male,,7408,7784,7714,6728,7467,6233,7693.0,8373.0,8353.0
Primary School,Delhi,Female,,15203,16915,17030,20703,16440,17093,18539.0,19610.0,20335.0
Primary School,Goa,Total,2759.0,2523,2313,2203,3232,3741,3931,3812.0,3904.0,3950.0
Primary School,Goa,Male,,476,445,398,433,451,428,423.0,380.0,373.0
Primary School,Goa,Female,,2047,1868,1805,2799,3290,3503,3389.0,3524.0,3577.0
Primary School,Gujarat,Total,28389.0,18208,18482,36039,37187,39980,43480,,,
Primary School,Gujarat,Male,,7996,8116,16928,15790,24906,26406,,,
Primary School,Gujarat,Female,,10212,10366,19111,21397,15074,17074,,,
Primary School,Haryana,Total,50295.0,39029,46565,49891,50621,28927,30124,22916.0,31523.0,27944.0
Primary School,Haryana,Male,,19810,22679,25085,25381,15076,15277,11081.0,16291.0,14823.0
Primary School,Haryana,Female,,19219,23886,24806,25240,13851,14847,11835.0,15232.0,13121.0
Primary School,Himachal Pradesh,Total,29201.0,29018,28738,28201,30948,30519,30733,30142.0,30318.0,29740.0
Primary School,Himachal Pradesh,Male,,16231,16598,15596,15266,16583,16676,16369.0,16852.0,16227.0
Primary School,Himachal Pradesh,Female,,12787,12140,12605,15682,13936,14057,13773.0,13466.0,13513.0
Primary School,Jammu and Kashmir,Total,27532.0,26339,29846,31910,38686,38686,31899,44333.0,59148.0,59376.0
Primary School,Jammu and Kashmir,Male,,16069,17771,19697,22881,22881,18822,26253.0,35870.0,35910.0
Primary School,Jammu and Kashmir,Female,,10270,12075,12213,15805,15805,13077,18080.0,23278.0,23466.0
Primary School,Jharkhand,Total,31432.0,30193,31150,30102,32764,42629,50537,50537.0,,
Primary School,Jharkhand,Male,,23899,24806,23858,25144,33736,31974,31974.0,,
Primary School,Jharkhand,Female,,6294,6344,6244,7620,8893,18563,18563.0,,
Primary School,Karnataka,Total,47504.0,61004,51308,64271,52056,66217,71877,62540.0,59457.0,61049.0
Primary School,Karnataka,Male,,34958,27772,39371,28172,34818,25879,32059.0,30574.0,30547.0
Primary School,Karnataka,Female,,26046,23536,24900,23884,31399,45998,30481.0,28883.0,30502.0
Primary School,Kerala,Total,45810.0,42497,40559,41458,41751,41073,40977,40850.0,40069.0,39333.0
Primary School,Kerala,Male,,11582,11152,11125,10897,10477,10278,16445.0,9789.0,9540.0
Primary School,Kerala,Female,,30915,29407,30333,30854,30596,30699,24405.0,30280.0,29793.0
Primary School,Lakshadweep,Total,285.0,36,313,323,283,326,203,253.0,254.0,254.0
Primary School,Lakshadweep,Male,,22,171,180,182,173,120,134.0,135.0,135.0
Primary School,Lakshadweep,Female,,14,142,143,101,153,83,119.0,119.0,119.0
Primary School,Madhya Pradesh,Total,173770.0,146766,197102,238868,230653,281340,292062,292062.0,199164.0,191705.0
Primary School,Madhya Pradesh,Male,,100650,130406,176011,165262,194124,201421,201421.0,137648.0,132163.0
Primary School,Madhya Pradesh,Female,,46116,66696,62857,65391,87216,90641,90641.0,61516.0,59542.0
Primary School,Maharashtra,Total,176526.0,123392,187819,190473,157593,190779,191813,139205.0,143270.0,145394.0
Primary School,Maharashtra,Male,,65950,74088,75393,75683,76117,76237,73450.0,77054.0,78750.0
Primary School,Maharashtra,Female,,57442,113731,115080,81910,114662,115576,65755.0,66216.0,66644.0
Primary School,Manipur,Total,9642.0,8245,8249,8033,7867,7767,7678,7671.0,7663.0,7928.0
Primary School,Manipur,Male,,5064,5064,4939,4833,4774,4712,4703.0,4708.0,4739.0
Primary School,Manipur,Female,,3181,3185,3094,3034,2993,2966,2968.0,2955.0,3189.0
Primary School,Meghalaya,Total,13365.0,14397,13745,13745,13745,14745,14034,14034.0,14034.0,14052.0
Primary School,Meghalaya,Male,,7217,7300,7300,7300,7838,7557,4480.0,4480.0,4490.0
Primary School,Meghalaya,Female,,7180,6445,6445,6445,6907,6477,9554.0,9554.0,9562.0
Primary School,Mizoram,Total,5429.0,4628,5849,5969,5210,8099,8002,8716.0,8477.0,8310.0
Primary School,Mizoram,Male,,2417,3009,3015,2651,3888,3878,4228.0,4004.0,3953.0
Primary School,Mizoram,Female,,2211,2840,2954,2559,4211,4124,4488.0,4473.0,4357.0
Primary School,Nagaland,Total,6952.0,7011,7474,8127,7948,7948,7956,7956.0,7956.0,7956.0
Primary School,Nagaland,Male,,4335,4896,5159,4985,4985,4995,4995.0,4995.0,4995.0
Primary School,Nagaland,Female,,2676,2578,2968,2963,2963,2961,2961.0,2961.0,2961.0
Primary School,Orissa,Total,111040.0,85760,78182,99079,101199,123686,107571,117250.0,136064.0,136707.0
Primary School,Orissa,Male,,59130,54589,63709,65177,78677,66050,71592.0,78758.0,78529.0
Primary School,Orissa,Female,,26630,23593,35370,36022,45009,41521,45658.0,57306.0,58178.0
Primary School,Puducherry,Total,2356.0,1754,2876,2969,2853,2993,3143,1665.0,1696.0,1642.0
Primary School,Puducherry,Male,,745,784,783,707,678,658,559.0,548.0,531.0
