School Type,State/UT,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Primary School,Andaman and Nicobar Islands,20.0,17.0,19.0,20.0,19.0,17,17,15.0,14.0,13.0
Primary School,Andhra Pradesh,41.0,33.0,35.0,33.0,32.0,33,32,31.0,32.0,31.0
Primary School,Arunachal Pradesh,34.0,27.0,39.0,34.0,32.0,28,33,22.0,22.0,22.0
Primary School,Assam,38.0,30.0,40.0,42.0,45.0,39,38,30.0,28.0,28.0
Primary School,Bihar,73.0,83.0,74.0,104.0,104.0,92,68,72.0,80.0,76.0
Primary School,Chandigarh,21.0,34.0,38.0,41.0,40.0,33,36,31.0,23.0,45.0
Primary School,Chhattisgarh,44.0,43.0,47.0,48.0,41.0,43,43,38.0,29.0,29.0
Primary School,Dadra and Nagar Haveli,49.0,40.0,49.0,62.0,55.0,59,91,43.0,40.0,39.0
Primary School,Daman and Diu,45.0,39.0,43.0,43.0,40.0,41,33,52.0,52.0,33.0
Primary School,Delhi,32.0,40.0,40.0,40.0,45.0,46,46,43.0,40.0,39.0
Primary School,Goa,20.0,21.0,20.0,21.0,32.0,26,25,26.0,26.0,25.0
Primary School,Gujarat,68.0,31.0,32.0,35.0,34.0,32,30,,,
Primary School,Haryana,39.0,41.0,45.0,44.0,42.0,57,53,58.0,52.0,51.0
Primary School,Himachal Pradesh,23.0,22.0,21.0,24.0,23.0,24,18,17.0,15.0,15.0
Primary School,Jammu and Kashmir,31.0,19.0,33.0,34.0,32.0,32,39,29.0,22.0,23.0
Primary School,Jharkhand,65.0,59.0,73.0,81.0,79.0,68,73,73.0,,
Primary School,Karnataka,30.0,26.0,34.0,26.0,26.0,25,23,19.0,18.0,17.0
Primary School,Kerala,28.0,28.0,29.0,28.0,27.0,27,28,25.0,24.0,23.0
Primary School,Lakshadweep,27.0,20.0,21.0,21.0,24.0,20,31,28.0,27.0,23.0
Primary School,Madhya Pradesh,44.0,36.0,41.0,43.0,49.0,42,41,41.0,37.0,38.0
Primary School,Maharashtra,39.0,36.0,37.0,37.0,37.0,37,34,30.0,29.0,29.0
Primary School,Manipur,22.0,21.0,28.0,30.0,31.0,33,33,33.0,33.0,30.0
Primary School,Meghalaya,34.0,22.0,36.0,44.0,46.0,46,47,47.0,57.0,57.0
Primary School,Mizoram,21.0,19.0,18.0,17.0,25.0,16,17,17.0,18.0,20.0
Primary School,Nagaland,19.0,12.0,19.0,19.0,20.0,20,20,20.0,20.0,20.0
Primary School,Orissa,39.0,40.0,56.0,53.0,42.0,36,42,39.0,33.0,33.0
Primary School,Puducherry,25.0,21.0,24.0,24.0,26.0,25,25,20.0,19.0,17.0
Primary School,Punjab,44.0,38.0,42.0,43.0,44.0,43,53,39.0,29.0,26.0
Primary School,Rajasthan,51.0,41.0,46.0,49.0,47.0,46,43,44.0,44.0,46.0
Primary School,Sikkim,16.0,12.0,19.0,22.0,22.0,14,16,13.0,14.0,14.0
Primary School,Tamil Nadu,33.0,34.0,35.0,33.0,34.0,32,44,37.0,31.0,27.0
Primary School,Tripura,31.0,23.0,30.0,54.0,36.0,27,27,27.0,25.0,15.0
Primary School,Uttar Pradesh,44.0,55.0,57.0,58.0,57.0,55,76,77.0,67.0,79.0
Primary School,Uttarakhand,35.0,29.0,27.0,25.0,24.0,25,25,23.0,24.0,24.0
Primary School,West Bengal,56.0,53.0,55.0,54.0,50.0,46,51,44.0,34.0,45.0
Upper Primary School,Andaman and Nicobar Islands,18.0,17.0,19.0,18.0,17.0,17,16,16.0,14.0,13.0
