Particulars,State/UT,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Secondary School,Andaman and Nicobar Islands,Total,16732.0,17325.0,18056.0,18637.0,19027.0,20029,20902,21163,21443,22581
Secondary School,Andaman and Nicobar Islands,Boy,,8885.0,9093.0,9581.0,9803.0,10304,10768,10813,10904,11687
Secondary School,Andaman and Nicobar Islands,Girl,,8440.0,8963.0,9056.0,9224.0,9725,10134,10350,10539,10894
Secondary School,Andhra Pradesh,Total,2445067.0,2568923.0,2891478.0,3160049.0,3288335.0,3381462,3468713,3610839,3645313,3719483
Secondary School,Andhra Pradesh,Boy,,1487217.0,1656558.0,1781072.0,1823587.0,1858749,1877017,1914211,1925237,1936068
Secondary School,Andhra Pradesh,Girl,,1081706.0,1234920.0,1378977.0,1464748.0,1522713,1591696,1696628,1720076,1783415
Secondary School,Arunachal Pradesh,Total,34534.0,37967.0,39064.0,41519.0,42553.0,47414,50396,52345,55372,59619
Secondary School,Arunachal Pradesh,Boy,,22394.0,22982.0,24356.0,24792.0,26972,27789,28364,29702,31905
Secondary School,Arunachal Pradesh,Girl,,15573.0,16082.0,17163.0,17761.0,20442,22607,23981,25670,27714
Secondary School,Assam,Total,922535.0,690086.0,966831.0,799392.0,816045.0,825733,719469,754362,831590,881463
Secondary School,Assam,Boy,,372652.0,563827.0,459818.0,468812.0,474401,394097,416709,445627,478942
Secondary School,Assam,Girl,,317434.0,403004.0,339574.0,347233.0,351332,325372,337653,385963,402521
Secondary School,Bihar,Total,1132960.0,1230910.0,1219117.0,1302984.0,991956.0,1561707,1758297,2037615,2403776,3067878
Secondary School,Bihar,Boy,,871139.0,879732.0,923934.0,672339.0,1021597,1132439,1262031,1427261,1791598
Secondary School,Bihar,Girl,,359771.0,339385.0,379050.0,319617.0,540110,625858,775584,976515,1276280
Secondary School,Chandigarh,Total,39756.0,46038.0,42224.0,43191.0,29080.0,47619,50329,52762,54524,55645
Secondary School,Chandigarh,Boy,,24050.0,22177.0,22592.0,14857.0,25683,27638,29161,30116,30257
Secondary School,Chandigarh,Girl,,21988.0,20047.0,20599.0,14223.0,21936,22691,23601,24408,25388
Secondary School,Chhattisgarh,Total,569975.0,558144.0,656707.0,699743.0,710993.0,670092,690278,1001440,840007,1000850
Secondary School,Chhattisgarh,Boy,,351013.0,407180.0,424603.0,421974.0,391223,402325,553892,467618,538220
Secondary School,Chhattisgarh,Girl,,207131.0,249527.0,275140.0,289019.0,278869,287953,447548,372389,462630
Secondary School,Dadra and Nagar Haveli,Total,5069.0,5647.0,6078.0,7400.0,7586.0,7323,9702,8723,9747,11741
Secondary School,Dadra and Nagar Haveli,Boy,,3349.0,3626.0,4474.0,4644.0,4554,5939,5309,5700,6862
Secondary School,Dadra and Nagar Haveli,Girl,,2298.0,2452.0,2926.0,2942.0,2769,3763,3414,4047,4879
Secondary School,Daman and Diu,Total,5747.0,5572.0,5367.0,6259.0,6390.0,6832,7492,7613,7940,8218
Secondary School,Daman and Diu,Boy,,3149.0,2973.0,3430.0,3401.0,3634,3813,3941,4113,4390
Secondary School,Daman and Diu,Girl,,2423.0,2394.0,2829.0,2989.0,3198,3679,3672,3827,3828
