School Type,State/UT,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Secondary School,Andaman and Nicobar Islands,Total,2834.0,2793.0,2744.0,2841.0,2692.0,2744,2867,2948,3123.0,3180.0
Secondary School,Andaman and Nicobar Islands,Male,,1403.0,1366.0,1423.0,1326.0,1328,1340,1351,1386.0,1407.0
Secondary School,Andaman and Nicobar Islands,Female,,1390.0,1378.0,1418.0,1366.0,1416,1527,1597,1737.0,1773.0
Secondary School,Andhra Pradesh,Total,175475.0,179420.0,180656.0,184359.0,186867.0,198815,202687,213498,234048.0,257225.0
Secondary School,Andhra Pradesh,Male,,111314.0,112105.0,116326.0,117596.0,124808,126984,132445,145433.0,159413.0
Secondary School,Andhra Pradesh,Female,,68106.0,68551.0,68033.0,69271.0,74007,75703,81053,88615.0,97812.0
Secondary School,Arunachal Pradesh,Total,3526.0,3880.0,3482.0,3556.0,3823.0,4172,4805,4849,5453.0,5591.0
Secondary School,Arunachal Pradesh,Male,,3063.0,2699.0,2760.0,2923.0,3221,3508,3543,3919.0,3993.0
Secondary School,Arunachal Pradesh,Female,,817.0,783.0,796.0,900.0,951,1297,1306,1534.0,1598.0
Secondary School,Assam,Total,69581.0,67476.0,77039.0,77253.0,78954.0,80882,74493,76091,77857.0,79514.0
Secondary School,Assam,Male,,48012.0,56291.0,56461.0,57713.0,58842,54076,56344,57573.0,58389.0
Secondary School,Assam,Female,,19464.0,20748.0,20792.0,21241.0,22040,20417,19747,20284.0,21125.0
Secondary School,Bihar,Total,44255.0,34849.0,42644.0,41078.0,25724.0,43658,42722,43149,57430.0,62908.0
Secondary School,Bihar,Male,,29267.0,37709.0,36202.0,22268.0,36750,36260,36452,43947.0,47727.0
Secondary School,Bihar,Female,,5582.0,4935.0,4876.0,3456.0,6908,6462,6697,13483.0,15181.0
Secondary School,Chandigarh,Total,5126.0,5247.0,5160.0,4923.0,3029.0,5543,5916,5521,5931.0,4681.0
Secondary School,Chandigarh,Male,,852.0,880.0,918.0,655.0,951,1038,1032,879.0,834.0
Secondary School,Chandigarh,Female,,4395.0,4280.0,4005.0,2374.0,4592,4878,4489,5052.0,3847.0
Secondary School,Chhattisgarh,Total,22296.0,32665.0,24585.0,28886.0,27871.0,29052,29510,37854,40509.0,42833.0
Secondary School,Chhattisgarh,Male,,21219.0,16927.0,20110.0,19027.0,19793,20111,24036,26265.0,27314.0
Secondary School,Chhattisgarh,Female,,11446.0,7658.0,8776.0,8844.0,9259,9399,13818,14244.0,15519.0
Secondary School,Dadra and Nagar Haveli,Total,281.0,410.0,323.0,296.0,316.0,337,472,437,465.0,455.0
Secondary School,Dadra and Nagar Haveli,Male,,197.0,167.0,161.0,169.0,168,233,214,223.0,232.0
Secondary School,Dadra and Nagar Haveli,Female,,213.0,156.0,135.0,147.0,169,239,223,242.0,223.0
Secondary School,Daman and Diu,Total,324.0,437.0,312.0,312.0,298.0,298,334,326,326.0,337.0
Secondary School,Daman and Diu,Male,,238.0,193.0,193.0,174.0,174,184,179,179.0,182.0
Secondary School,Daman and Diu,Female,,199.0,119.0,119.0,124.0,124,150,147,147.0,155.0
Secondary School,Delhi,Total,54891.0,58015.0,59203.0,59146.0,61149.0,65580,69121,71198,74771.0,79114.0
Secondary School,Delhi,Male,,19530.0,20032.0,20064.0,20248.0,19789,20911,21065,22152.0,23132.0
Secondary School,Delhi,Female,,38485.0,39171.0,39082.0,40901.0,45791,48210,50133,52619.0,55982.0
Secondary School,Goa,Total,7996.0,7346.0,7564.0,8010.0,5069.0,4827,4461,4733,4567.0,4473.0
Secondary School,Goa,Male,,2747.0,2806.0,2925.0,2294.0,2135,2043,2007,1895.0,1807.0
Secondary School,Goa,Female,,4599.0,4758.0,5085.0,2775.0,2692,2418,2726,2672.0,2666.0
Secondary School,Gujarat,Total,65253.0,74466.0,70978.0,71648.0,72084.0,76054,78645,84401,86775.0,74929.0
Secondary School,Gujarat,Male,,54279.0,52059.0,52874.0,53229.0,55641,56971,59675,60658.0,51102.0
