State/UT,Number of Villages Sampled,% of Villages with no Upper Primary School,Ratio of Upper Primary to Primary(State Report Cards)
Andhra Pradesh,12.0,0.0,1:2.4
Assam,12.0,41.6,1:3.6
Bihar,12.0,50.0,1:2.9
Chandigarh,2.0,0.0,1:1.1
Haryana,8.0,50.0,1:2.5
Himachal Pradesh,8.0,50.0,1:1.9
Madhya Pradesh,12.0,50.0,1:2.7
Rajasthan,12.0,50.0,1:2.3
Tamil Nadu,12.0,25.0,1:2.4
Uttar Pradesh,17.0,41.1,1:2.8
West Bengal,8.0,37.5,1:5.4
Delhi,,,
Meghalaya,,,
Manipur,,,
Tripura,,,
Lakshadweep,,,
Uttarakhand,,,
Karnataka,,,
Punjab,,,
Dadra and Nagar Haveli,,,
Gujarat,,,
Maharashtra,,,
Nagaland,,,
Jharkhand,,,
Arunachal Pradesh,,,
Mizoram,,,
Andaman and Nicobar Islands,,,
Puducherry,,,
Orissa,,,
Goa,,,
Chhattisgarh,,,
Sikkim,,,
Daman and Diu,,,
Jammu and Kashmir,,,
Kerala,,,
