State/UT,All Schools 2010-11,All Schools 2011-12,All Schools 2012-13,Primary Schools 2010-11,Primary Schools 2011-12,Primary Schools 2012-13
Andaman and Nicobar Islands,24.46,23.8,23.39,20.79,17.51,18.04
Andhra Pradesh,32.95,32.98,32.18,32.1,32.44,32.25
Arunachal Pradesh,30.07,30.53,58.45,24.37,24.8,54.09
Assam,47.54,49.03,64.4,66.06,64.02,74.53
Bihar,14.25,13.63,51.39,9.78,8.83,41.43
Chandigarh,26.02,25.42,0.85,7.69,0.0,0.0
Chhattisgarh,33.95,40.72,64.48,44.36,49.88,69.27
Dadra and Nagar Haveli,33.1,32.75,8.71,26.04,27.55,9.47
Daman and Diu,61.8,60.87,72.0,59.57,57.14,72.92
Delhi,6.41,6.39,0.0,2.1,2.0,0.0
Goa,3.65,3.66,0.0,1.04,1.04,0.0
Gujarat,44.96,44.83,72.93,38.97,39.45,76.44
Haryana,16.65,18.18,45.17,19.54,20.48,40.53
Himachal Pradesh,14.51,13.92,85.94,19.42,18.67,87.41
Jammu and Kashmir,1.75,1.62,49.37,0.81,0.79,39.27
Jharkhand,30.6,30.57,49.57,24.26,23.89,41.51
Karnataka,75.19,68.8,43.31,72.77,71.94,44.39
Kerala,64.24,62.22,84.4,64.28,61.94,84.41
Lakshadweep,69.57,69.57,86.36,69.57,65.0,72.22
Madhya Pradesh,56.04,55.48,56.38,66.64,66.02,60.5
Maharashtra,29.79,29.24,44.32,26.52,26.07,47.1
Manipur,69.95,64.52,45.35,73.24,67.02,41.97
Meghalaya,20.75,20.21,52.38,24.71,24.68,52.22
Mizoram,41.61,32.85,86.85,67.58,52.81,92.41
Nagaland,75.39,59.27,65.74,76.44,67.73,73.63
Orissa,22.24,21.83,53.99,20.54,20.02,52.61
Puducherry,25.95,26.23,12.23,25.4,25.3,11.9
Punjab,17.56,17.43,81.7,25.33,25.27,84.12
Rajasthan,36.91,36.48,71.63,35.95,35.22,70.42
Sikkim,30.93,30.86,88.59,26.05,25.94,86.51
Tamil Nadu,88.62,91.82,88.77,89.31,92.1,89.79
Tripura,58.73,57.19,71.47,46.95,43.85,62.48
Uttar Pradesh,47.2,45.57,74.31,62.43,61.39,81.37
Uttarakhand,54.45,53.79,71.06,74.12,73.62,80.82
West Bengal,50.69,49.43,66.81,56.86,56.59,72.55
