State/UT,Availability of Store Rooms in Schools(% age),Condition of Store Rooms (%age)- Good,Condition of Store Rooms (%age)- Average,Condition of Store Rooms (%age)- Poor,Functionality (%age)
Andhra Pradesh,27.5,90.91,9.09,0,61.53
Arunachal Pradesh,5.88,100,0,0,100
Bihar,50,52.63,31.58,15.79,84.21
Haryana,0,NA,NA,NA,NA
Himachal Pradesh,10,50,50,0,100
Jammu & Kashmir,0,NA,NA,NA,0
Jharkhand,33.33,30,60,10,100
Karnataka,42.86,61.54,23.08,15.38,100
Kerala,25,40,20,40,50
Madhya Pradesh,17.5,71.43,28.57,0,100
Maharashtra,2.56,100,0,0,100
Meghalaya,10,66.67,33.33,0,66.67
Punjab,0,NA,NA,NA,NA
Rajasthan,37.5,60,33.33,6.67,100
Tamil Nadu,73.33,30.43,69.57,0,95.45
Uttar Pradesh,5,0,50,50,100
West Bengal,6.67,100,0,0,66.67
Sample Average,24.29,53.5,37.71,8.7,87.17
