State/UT,Daily (in percent),Sometimes in a week (in percent),Sometimes in month /year (in percent),Never (in percent)
Andhra Pradesh,16.43,7.93,0.57,75.07
Arunachal Pradesh,1.9,45.57,46.2,6.33
Bihar,7.75,32.5,3.5,56.25
Haryana,67.84,17.59,0.5,14.07
Himachal Pradesh,61.69,23.88,1,13.43
Jammu & Kashmir,30,32,0,38
Jharkhand,3.63,9.57,15.51,71.29
Karnataka,63.6,8.13,0,28.27
Kerala,20.99,46.3,1.85,30.86
Madhya Pradesh,27.25,6.75,0,66
Maharashtra,47.55,7.07,0.54,44.84
Meghalaya,0.65,99.35,0,0
Punjab,51.5,25,2.5,21
Rajasthan,65.9,13.08,2.05,18.97
Tamil Nadu,17.73,34.45,16.72,31.1
Uttar Pradesh,40,16.92,0.26,42.82
West Bengal,15.15,35.5,9.96,39.39
Sample Average,32.57,22.42,5.03,39.98
