States/UT,General education courses - Arts - Total - 2008-09,General education courses - Arts - Total - 2009-10,General education courses - Arts - Total - 2010-11,General education courses - Arts - Women - 2008-09,General education courses - Arts - Women - 2009-10,General education courses - Arts - Women - 2010-11,General education courses - Science - Total - 2008-09,General education courses - Science - Total - 2009-10,General education courses - Science - Total - 2010-11,General education courses - Science - Women - 2008-09,General education courses - Science - Women - 2009-10,General education courses - Science - Women - 2010-11,General education courses - Commerce - Total - 2008-09,General education courses - Commerce - Total - 2009-10,General education courses - Commerce - Total - 2010-11,General education courses - Commerce - Women - 2008-09,General education courses - Commerce - Women - 2009-10,General education courses - Commerce - Women - 2010-11,General education courses - TOTAL - Total - 2008-09,General education courses - TOTAL - Total - 2009-10,General education courses - TOTAL - Total - 2010-11,General education courses - TOTAL - Women - 2008-09,General education courses - TOTAL - Women - 2009-10,General education courses - TOTAL - Women - 2010-11,Professional education courses - Education - Total - 2008-09,Professional education courses - Education - Total - 2009-10,Professional education courses - Education - Total - 2010-11,Professional education courses - Education - Women - 2008-09,Professional education courses - Education - Women - 2009-10,Professional education courses - Education - Women - 2010-11,"Professional education courses - Engineering-Tech,Including Polytechnic - Total - 2008-09","Professional education courses - Engineering-Tech,Including Polytechnic - Total - 2009-10","Professional education courses - Engineering-Tech,Including Polytechnic - Total - 2010-11","Professional education courses - Engineering-Tech,Including Polytechnic - Women - 2008-09","Professional education courses - Engineering-Tech,Including Polytechnic - Women - 2009-10","Professional education courses - Engineering-Tech,Including Polytechnic - Women - 2010-11",Professional education courses - Medicine - Total - 2008-09,Professional education courses - Medicine - Total - 2009-10,Professional education courses - Medicine - Total - 2010-11,Professional education courses - Medicine - Women - 2008-09,Professional education courses - Medicine - Women - 2009-10,Professional education courses - Medicine - Women - 2010-11,Professional education courses - Agriculture - Total - 2008-09,Professional education courses - Agriculture - Total - 2009-10,Professional education courses - Agriculture - Total - 2010-11,Professional education courses - Agriculture - Women - 2008-09,Professional education courses - Agriculture - Women - 2009-10,Professional education courses - Agriculture - Women - 2010-11,Professional education courses - Law - Total - 2008-09,Professional education courses - Law - Total - 2009-10,Professional education courses - Law - Total - 2010-11,Professional education courses - Law - Women - 2008-09,Professional education courses - Law - Women - 2009-10,Professional education courses - Law - Women - 2010-11,Professional education courses - Others - Total - 2008-09,Professional education courses - Others - Total - 2009-10,Professional education courses - Others - Total - 2010-11,Professional education courses - Others - Women - 2008-09,Professional education courses - Others - Women - 2009-10,Professional education courses - Others - Women - 2010-11,Professional education courses - Total - Total - 2008-09,Professional education courses - Total - Total - 2009-10,Professional education courses - Total - Total - 2010-11,Professional education courses - Total - Women - 2008-09,Professional education courses - Total - Women - 2009-10,Professional education courses - Total - Women - 2010-11
Andhra Pradesh,111663,1270966,NA,38511,60376,NA,419472,359305,NA,144944,142482,NA,221362,208341,NA,79702,86376,NA,752497,1701450,NA,263157,289234,NA,53278,43803,NA,16007,12482,NA,364456,397161,NA,120270,130555,NA,7247,12731,NA,2633,4095,NA,3636,5760,NA,1666,2585,NA,7346,5597,NA,2220,1643,NA,61112,41725,NA,19633,14415,NA,497075,506777,NA,162429,165775,NA
Arunachal Pradesh,9816,11449,NA,4572,5167,NA,785,915,NA,397,454,NA,688,891,NA,220,332,NA,11289,284277,NA,5189,5953,NA,200,200,NA,114,114,NA,3301,3185,NA,1024,834,NA,144,144,NA,98,101,NA,0,0,NA,0,0,NA,95,95,NA,11,11,NA,212,211,NA,81,39,NA,3952,3835,NA,1328,1099,NA
Assam,153159,153317,NA,61593,61719,NA,35560,35940,NA,6699,6839,NA,17817,17817,NA,2621,2621,NA,188719,345886,NA,70913,71179,NA,2932,2932,NA,1221,921,NA,3049,8998,NA,837,1994,NA,2853,2853,NA,896,896,NA,922,922,NA,306,424,NA,7581,7581,NA,1792,1792,NA,916,731,NA,418,367,NA,18253,24017,NA,5470,6394,NA
Bihar,454761,612929,NA,157169,215007,NA,163097,156309,NA,32682,45741,NA,62258,72276,NA,10829,11165,NA,680116,781352,NA,200680,271913,NA,7333,7333,NA,2590,2959,NA,8892,8883,NA,951,960,NA,10040,NA,NA,2585,2650,NA,439,1438,NA,45,341,NA,14499,14830,NA,2701,2939,NA,17828,47745,NA,6735,15217,NA,59031,80229,NA,15607,25066,NA
Chhatisgarh,165520,291377,NA,87931,113154,NA,30816,53011,NA,16144,24068,NA,34145,45302,NA,15016,19407,NA,230481,555968,NA,119091,156629,NA,6121,6121,NA,3445,4573,NA,19629,55535,NA,4365,12168,NA,5295,10341,NA,2867,4075,NA,4037,1124,NA,520,256,NA,2737,5067,NA,1185,1540,NA,1444,5264,NA,557,2003,NA,39263,83452,NA,12939,24615,NA
Goa,4713,5491,NA,3508,4139,NA,4241,4611,NA,2371,2653,NA,8534,8500,NA,5061,5322,NA,17488,133139,NA,10940,12114,NA,272,272,NA,232,228,NA,3411,3550,NA,1296,1371,NA,1484,6515,NA,1078,1021,NA,0,192,NA,0,103,NA,732,819,NA,392,441,NA,1387,1332,NA,680,716,NA,7286,12680,NA,3678,3880,NA
Gujarat,225780,212125,NA,117483,105119,NA,74627,75994,NA,31953,31606,NA,144206,171879,NA,60979,74855,NA,444613,341804,NA,210415,211580,NA,44095,44095,NA,20616,26320,NA,93413,105868,NA,17522,19132,NA,29105,1430,NA,11801,13662,NA,3394,3394,NA,468,468,NA,11119,9532,NA,4044,3737,NA,43906,70070,NA,16754,24806,NA,225032,234389,NA,71205,88125,NA
Haryana,185485,157315,NA,94570,80783,NA,23367,40612,NA,12331,21820,NA,38079,42282,NA,17944,20434,NA,246931,263885,NA,124845,123037,NA,57742,57742,NA,31699,43596,NA,127480,113438,NA,35652,29360,NA,8596,32834,NA,4327,4327,NA,890,1271,NA,103,193,NA,3976,4475,NA,1037,1029,NA,25542,30824,NA,6349,28834,NA,224226,240584,NA,79167,107339,NA
Himachal Pradesh,53869,67871,NA,32103,38030,NA,15884,19160,NA,9073,10626,NA,8549,12752,NA,3244,5029,NA,78302,146882,NA,44420,53685,NA,7097,7097,NA,5527,6848,NA,8204,12596,NA,1821,2994,NA,2748,8596,NA,1553,3251,NA,882,973,NA,389,453,NA,1183,1713,NA,444,709,NA,5949,9713,NA,2047,4106,NA,26063,40688,NA,11781,18361,NA
Jammu and Kashmir,96095,118119,NA,45952,56527,NA,18383,6552,NA,9006,2344,NA,3356,15716,NA,1616,7087,NA,117834,438584,NA,56574,65958,NA,41058,41058,NA,16666,20096,NA,3972,3972,NA,1090,1090,NA,3620,5284,NA,1807,1809,NA,982,920,NA,196,247,NA,2154,2789,NA,771,1136,NA,3239,2572,NA,1255,1026,NA,55025,56595,NA,21785,25404,NA
