State/UT,Universities/Deemed to be Universities - Institution of National Importance - 2008-09,Universities/Deemed to be Universities - Institution of National Importance - 2009-10,Universities/Deemed to be Universities - Institution of National Importance - 2010-11,College for Education - 2008-09,College for Education - 2009-10,College for Education - 2010-11,"Professional Education,Engg Tech., Arch, - Medical and Education College - 2008-09","Professional Education,Engg Tech., Arch, - Medical and Education College - 2009-10","Professional Education,Engg Tech., Arch, - Medical and Education College - 2010-11","Other Colleges (Law, Manaagement, - Agriculture etc.) - 2008-09","Other Colleges (Law, Manaagement, - Agriculture etc.) - 2009-10","Other Colleges (Law, Manaagement, - Agriculture etc.) - 2010-11",Polytechnics - 2008-09,Polytechnics - 2009-10,Polytechnics - 2010-11,Board of Sr.Secondary/ - Secondary Education - 2008-09,Board of Sr.Secondary/ - Secondary Education - 2009-10,Board of Sr.Secondary/ - Secondary Education - 2010-11,Pre-Primary/Pre-Basic - 2008-09,Pre-Primary/Pre-Basic - 2009-10,Pre-Primary/Pre-Basic - 2010-11,Jr.Basic School - 2008-09,Jr.Basic School - 2009-10,Jr.Basic School - 2010-11,Middle/Sr Baic Schools - 2008-09,Middle/Sr Baic Schools - 2009-10,Middle/Sr Baic Schools - 2010-11,High/Higher Secondary Schools - 2008-09,High/Higher Secondary Schools - 2009-10,High/Higher Secondary Schools - 2010-11,Total for Schools for General Education - 2008-09,Total for Schools for General Education - 2009-10,Total for Schools for General Education - 2010-11,Teacher Training Schools - 2008-09,Teacher Training Schools - 2009-10,Teacher Training Schools - 2010-11,Grand Total for all the School Level - (General and Technical) - 2008-09,Grand Total for all the School Level - (General and Technical) - 2009-10,Grand Total for all the School Level - (General and Technical) - 2010-11
Andhra Pradesh,32,31,46,2286,1970,3611,1523,1728,NA,1031,775,NA,187,213,NA,3,3,3,0,0,0,65811,65932,66834,14993,15381,15421,21750,22527,23919,102554,103840,106174,615,615,NA,102554,103840,106174
Arunachal Pradesh,2,2,3,13,17,9,5,5,NA,3,1,NA,3,3,NA,0,0,0,1928,1688,1596,1721,1841,1941,813,871,920,280,307,309,4742,4707,3170,0,0,NA,4742,4707,3170
Assam,8,8,9,337,337,172,54,56,NA,153,153,NA,10,10,NA,3,3,3,0,0,0,31042,31202,31202,13023,14133,14133,5970,6417,6553,50035,51752,51898,40,40,NA,50035,51752,51898
Bihar,18,20,20,817,817,524,80,80,NA,106,134,NA,13,17,NA,3,3,3,1,1,1,45557,43445,42573,18007,20696,25587,3792,4236,4503,67357,68378,72663,33,33,NA,67357,68378,72663
Chhatisgarh,9,9,15,330,365,408,152,177,NA,51,42,NA,15,15,NA,4,4,4,841,1346,1353,34420,35344,35274,14113,15147,15488,4518,4648,4828,53892,56485,55590,4,4,NA,53892,56485,55590
Goa,1,1,2,24,22,33,13,4,NA,6,13,NA,5,4,NA,1,1,1,0,0,0,1253,1252,1254,455,444,438,464,458,460,2172,2154,2152,0,0,NA,2172,2154,2152
Gujarat,24,26,36,538,577,1557,521,397,NA,238,244,NA,66,104,NA,1,1,1,0,0,0,17708,17779,0,24327,24366,42145,9015,9299,9834,51050,51444,51989,254,254,NA,51050,51444,51989
Haryana,10,12,21,234,238,266,943,651,NA,54,113,NA,32,32,NA,1,1,1,0,17,17,13052,13073,13987,3458,3439,3483,5929,6771,6771,22439,23300,24241,447,447,NA,22439,23300,24241
Himachal Pradesh,5,7,18,90,377,234,100,119,NA,71,86,NA,15,26,NA,1,1,1,14,14,14,11517,11301,11376,5015,4921,5084,3059,3087,3193,19605,19323,19653,82,82,NA,19605,19323,19653
Jammu and Kashmir,8,10,10,83,92,118,157,166,NA,23,45,NA,14,0,NA,1,1,1,0,0,0,13369,15446,15446,5202,8877,8877,1498,3105,3105,20069,27428,27428,147,147,NA,20069,27428,27428
Jharkhand,7,8,12,110,110,37,25,25,NA,26,26,NA,19,19,NA,1,1,1,95,95,95,19818,19818,26731,9996,9996,14863,1654,1654,2473,31563,31563,44067,9,9,NA,31563,31563,44067
Karnataka,31,29,43,2115,369,2844,1531,597,NA,51,13,NA,240,273,NA,2,2,2,0,0,0,26644,26254,26302,30876,32041,33126,15418,16097,17091,72938,74392,76519,0,0,NA,72938,74392,76519
Kerala,11,11,16,192,192,556,244,244,NA,12,12,NA,59,59,NA,2,2,2,0,0,0,6860,6796,6790,3092,3060,3059,4059,5768,3825,14011,15624,13674,21,21,NA,14011,15624,13674
Madhya Pradesh,18,21,28,792,896,396,358,412,NA,154,3,NA,44,49,NA,2,2,2,0,0,0,97800,97800,43662,39227,39227,96797,10872,11513,12121,147899,148540,152580,102,102,NA,147899,148540,152580
Maharashtra,43,42,44,2171,2074,1524,862,924,NA,528,448,NA,214,227,NA,1,1,1,56145,56145,56145,45931,49101,49095,26930,27271,27654,24251,20678,21474,153257,153195,98223,471,471,NA,153257,153195,98223
Manipur,2,1,3,58,59,19,10,9,NA,5,5,NA,3,3,NA,2,2,2,1,1,1,2579,2579,2435,792,792,732,824,824,884,4196,4196,4051,5,5,NA,4196,4196,4051
Meghalaya,1,2,9,57,88,24,4,9,NA,2,21,NA,3,3,NA,1,1,1,0,711,711,6618,6618,6627,2259,2259,2259,774,800,801,9651,10388,9687,4,4,NA,9651,10388,9687
Mizoram,1,1,3,23,23,24,4,4,NA,2,2,NA,2,2,NA,1,1,1,0,0,0,1783,1782,1821,1253,1313,1353,588,616,636,3624,3711,3810,2,2,NA,3624,3711,3810
Nagaland,1,1,4,41,45,52,3,3,NA,25,26,NA,3,0,NA,1,1,1,0,0,0,1662,1662,1662,465,465,465,406,406,406,2533,2533,2533,3,3,NA,2533,2533,2533
Odisha,14,15,18,700,634,390,127,165,NA,73,75,NA,33,24,NA,2,2,2,0,0,0,52138,52972,54150,21521,22209,22649,9505,8943,9267,83164,84124,86066,14,14,NA,83164,84124,86066
Punjab,13,14,17,234,234,232,248,167,NA,12,177,NA,89,89,NA,1,1,1,0,0,0,14138,16954,13950,3309,9110,3792,5116,5121,5657,22563,31185,23399,48,48,NA,22563,31185,23399
Rajasthan,27,24,43,1017,1135,713,261,261,NA,214,214,NA,71,71,NA,3,3,3,8,8,8,49887,49538,47818,38698,38889,36788,17602,19135,22561,106195,107570,107167,111,111,NA,106195,107570,107167
Sikkim,3,3,6,5,5,9,6,7,NA,6,6,NA,2,2,NA,0,0,0,1149,1170,1170,769,749,749,215,244,244,173,185,185,2306,2348,1178,2,2,NA,2306,2348,1178
Tamil Nadu,48,43,59,550,589,1030,702,1283,NA,165,64,NA,314,363,NA,1,1,1,5922,5959,6642,29364,27037,28218,8629,9966,9810,6475,6548,6772,50390,49510,44800,645,645,NA,50390,49510,44800
Tripura,3,3,3,17,16,35,5,7,NA,6,6,NA,1,1,NA,1,1,1,0,0,0,2120,2379,2307,1059,1139,1246,731,770,840,3910,4288,4393,1,1,NA,3910,4288,4393
Uttar Pradesh,40,36,56,2361,2361,913,444,444,NA,299,299,NA,136,163,NA,1,1,1,0,0,0,127247,132403,147376,42201,51948,53281,15518,16436,17644,184966,200787,218301,128,128,NA,184966,200787,218301
Uttarakhand,14,12,18,103,107,165,58,58,NA,60,60,NA,42,0,NA,1,1,1,0,0,0,15356,15644,15660,4296,4296,4365,2403,2439,2776,22055,22379,22801,24,24,NA,22055,22379,22801
West Bengal,23,20,26,422,434,368,192,227,NA,138,180,NA,50,57,NA,4,4,4,0,0,0,49913,73100,49908,1407,4296,2623,8670,9456,8754,59990,86852,61326,103,103,NA,59990,86852,61326
Andaman and Nicobar Islands,0,0,0,2,2,0,2,2,NA,1,1,NA,2,2,NA,0,0,0,25,27,27,205,207,212,69,67,67,97,98,99,396,399,378,1,1,NA,396,399,378
Chandigarh,3,3,3,15,8,13,20,14,NA,4,2,NA,7,3,NA,0,0,0,0,1,1,25,25,24,18,18,23,126,125,133,169,169,180,3,3,NA,169,169,180
Dadra and Nagar Haveli,0,0,0,1,1,1,2,2,NA,0,0,NA,1,0,NA,0,0,0,119,0,0,172,170,210,112,127,85,45,34,32,448,331,327,1,1,NA,448,331,327
Daman and Diu,0,0,0,1,1,3,2,2,NA,0,0,NA,1,1,NA,0,0,0,25,25,16,50,50,66,24,24,37,28,28,32,127,127,132,2,2,NA,127,127,132
Delhi,18,19,26,89,89,139,25,25,NA,41,41,NA,79,79,NA,3,3,3,51,50,50,2593,2586,2563,659,583,588,1759,1824,1872,5062,5043,5023,2,2,NA,5062,5043,5023
Lakshadweep,0,0,0,2,2,0,1,1,NA,0,0,NA,0,0,NA,0,0,0,10,18,18,21,23,23,4,10,10,12,15,15,48,66,48,1,1,NA,48,66,48
