State/UT,Girls Toilet - Primary Schools 2012-13,Girls Toilet - All Schools 2012-13,Functional Girls Toilets - All Schools 2012-13 
Andaman and Nicobar Islands,87.5,91.13,73.97
Andhra Pradesh,67.2,73.46,37.52
Arunachal Pradesh,50.43,62.54,46.04
Assam,78.29,76.23,86.13
Bihar,66.92,76.84,80.39
Chandigarh,100.0,100.0,98.4
Chhattisgarh,86.22,87.78,47.24
Dadra and Nagar Haveli,58.56,71.75,80.09
Daman & Diu,100.0,98.15,95.28
Delhi,100.0,100.0,100.0
Goa,92.94,94.81,73.09
Gujarat,94.88,97.51,97.22
Haryana,97.12,97.64,90.05
Himachal Pradesh,97.08,97.57,83.99
Jammu and Kashmir,50.81,64.19,37.78
Jharkhand,81.35,83.68,64.46
Karnataka,99.38,99.56,96.46
Kerala,93.48,95.98,69.84
Lakshadweep,100.0,100.0,61.36
Madhya Pradesh,92.72,92.81,58.52
Maharashtra,97.6,98.14,77.0
Manipur,92.42,94.71,63.17
Meghalaya,44.7,44.96,72.79
Mizoram,97.41,97.26,61.2
Nagaland,94.71,93.03,96.57
Orissa,62.33,68.46,32.74
Puducherry,100.0,99.85,93.96
Punjab,93.59,95.47,87.48
Rajasthan,96.32,97.77,90.44
Sikkim,95.65,97.08,74.16
Tamil Nadu,93.95,95.64,72.3
Tripura,77.65,86.47,47.54
Uttar Pradesh,97.85,97.95,95.58
Uttarakhand,92.7,93.56,62.2
West Bengal,72.58,74.94,59.31
