State/UT,2011-12,2012-13,Mid day meal not Prepared in School Premises 2012-13
Andaman and Nicobar Islands,94.28,92.11,61.9
Andhra Pradesh,95.9,95.9,19.65
Arunachal Pradesh,84.26,87.08,2.43
Assam,89.87,93.05,3.93
Bihar,92.48,93.84,7.07
Chandigarh,93.22,94.02,99.09
Chhattisgarh,97.08,97.74,11.64
Dadra and Nagar Haveli,99.65,98.61,0.35
Daman & Diu,97.83,89.0,0.0
Delhi,8.66,98.01,100.0
Goa,96.97,96.04,99.69
Gujarat,89.94,95.68,17.8
Haryana,97.14,98.27,13.57
Himachal Pradesh,99.41,99.14,1.25
Jammu and Kashmir,96.9,97.79,10.22
Jharkhand,97.09,96.77,1.69
Karnataka,97.16,97.62,52.57
Kerala,95.82,97.26,0.68
Lakshadweep,97.83,97.73,11.63
Madhya Pradesh,97.83,97.02,24.16
Maharashtra,94.28,96.58,15.09
Manipur,96.33,80.73,8.82
Meghalaya,89.43,92.65,7.65
Mizoram,93.18,91.78,1.21
Nagaland,74.13,80.56,4.82
Orissa,94.45,95.61,4.63
Puducherry,96.59,96.78,85.37
Punjab,87.49,96.37,12.3
Rajasthan,75.41,97.88,11.34
Sikkim,91.08,97.0,1.54
Tamil Nadu,97.64,98.51,3.56
Tripura,99.43,97.91,2.75
Uttar Pradesh,89.21,87.86,6.03
Uttarakhand,97.33,97.47,0.38
West Bengal,86.82,93.33,4.44
