State/UT,All Schools 2011-12,All Schools 2012-13
Andaman and Nicobar Islands,57.71,54.99
Andhra Pradesh,57.45,57.53
Arunachal Pradesh,32.54,33.17
Assam,52.4,51.95
Bihar,32.19,32.9
Chandigarh,94.65,95.21
Chhattisgarh,38.67,40.84
Dadra and Nagar Haveli,29.7,36.19
Daman & Diu,55.75,53.33
Delhi,80.08,73.88
Goa,49.64,42.62
Gujarat,73.97,73.82
Haryana,76.62,76.75
Himachal Pradesh,66.63,83.88
Jammu and Kashmir,36.29,35.99
Jharkhand,29.97,31.33
Karnataka,65.65,62.79
Kerala,66.42,68.31
Lakshadweep,23.91,38.64
Madhya Pradesh,56.73,56.71
Maharashtra,63.35,75.01
Manipur,56.91,51.15
Meghalaya,35.84,32.48
Mizoram,40.34,49.16
Nagaland,40.5,39.33
Orissa,29.65,29.65
Puducherry,66.2,66.57
Punjab,76.88,81.47
Rajasthan,46.27,48.39
Sikkim,61.94,64.03
Tamil Nadu,77.61,75.12
Tripura,60.34,60.21
Uttar Pradesh,78.18,73.35
Uttarakhand,56.93,57.17
West Bengal,32.3,33.08
