State/UT,Primary Schools 2012-13,All Schools 2012-13
Andaman and Nicobar Islands,39.67,39.65
Andhra Pradesh,13.08,13.68
Arunachal Pradesh,7.0,9.47
Assam,16.09,15.15
Bihar,9.2,10.52
Chandigarh,50.0,50.54
Chhattisgarh,23.74,23.89
Dadra and Nagar Haveli,8.08,11.48
Daman & Diu,8.26,13.21
Delhi,58.83,58.13
Goa,44.95,45.79
Gujarat,26.33,25.93
Haryana,24.93,26.11
Himachal Pradesh,39.13,40.39
Jammu and Kashmir,22.34,23.65
Jharkhand,5.95,6.52
Karnataka,9.45,10.14
Kerala,28.22,27.38
Lakshadweep,50.0,40.79
Madhya Pradesh,26.72,28.98
Maharashtra,33.45,33.77
Manipur,10.2,14.52
Meghalaya,4.12,5.5
Mizoram,13.16,12.29
Nagaland,6.81,8.9
Orissa,13.12,12.87
Puducherry,26.31,27.86
Punjab,37.49,35.9
Rajasthan,30.6,33.12
Sikkim,24.95,22.32
Tamil Nadu,42.52,41.77
Tripura,20.45,21.29
Uttar Pradesh,17.05,17.94
Uttarakhand,19.43,20.51
West Bengal,17.3,17.41
