State/UT,No. of Unserved - Habitations (2002)*,No. of Unserved  -Habitations (2007)**
Andhra Pradesh,4216,2234.0
Andaman and Nicobar Islands,244,2.0
Arunachal Pradesh,2043,1328.0
Assam,9651,1661.0
Bihar,7014,2903.0
Chandigarh,5,0.0
Chhattisgarh,3103,3741.0
Daman & Diu,12,0.0
Delhi,36,0.0
Goa,62,67.0
Gujarat,1800,
Haryana,732,0.0
Himachal Pradesh,9369,0.0
Jammu and Kashmir,4175,1981.0
Jharkhand,11470,0.0
Karnataka,7221,0.0
Kerala,1353,0.0
Lakshadweep,0,0.0
Madhya Pradesh,3788,0.0
Maharashtra,6454,219.0
Manipur,791,187.0
Meghalaya,1043,851.0
Mizoram,77,22.0
Nagaland,71,0.0
Orissa,14528,797.0
Puducherry,12,10.0
Punjab,1118,0.0
Rajasthan,9846,3121.0
Sikkim,317,9.0
Tamil Nadu,6505,380.0
Tripura,1180,508.0
Dadra and Nagar Haveli,52,26.0
Uttar Pradesh,27427,9897.0
Uttarakhand,4568,909.0
