"State/UT","All Schools 2010-11","All Schools 2011-12","All Schools 2012-13"
"A & N Islands","48.52","48.60","49.00"
"Andhra Pradesh","56.09","57.23","58.73"
"Arunachal Pradesh","29.99","33.46","37.07"
"Assam","24.76","25.06","25.65"
"Bihar","44.55","52.72","52.40"
"Chandigarh","100.00","100.00","98.94"
"Chhattisgarh","71.92","53.45","52.19"
"Dadra & Nagar Haveli","39.39","40.59","43.81"
"Daman & Diu","91.82","91.15","83.33"
"Delhi","98.07","98.32","97.81"
"Goa","74.51","74.75","76.63"
"Gujarat","88.58","89.03","89.59"
"Haryana","95.62","95.94","95.78"
"Himachal Pradesh","45.42","51.91","57.11"
"Jammu & Kashmir","31.45","31.11","31.71"
"Jharkhand","25.20","26.47","25.03"
"Karnataka","69.10","71.26","71.15"
"Kerala","79.42","81.88","79.65"
"Lakshadweep","45.65","43.48","50.00"
"Madhya Pradesh","42.35","44.96","43.91"
"Maharashtra","58.55","59.05","68.31"
"Manipur","30.38","30.98","32.46"
"Meghalaya","18.87","17.72","17.79"
"Mizoram","58.26","61.64","60.81"
"Nagaland","75.34","63.29","64.69"
"Odisha","58.79","62.41","64.87"
"Puducherry","87.31","90.38","94.08"
"Punjab","95.08","96.99","95.00"
"Rajasthan","76.34","79.66","79.90"
"Sikkim","29.31","28.83","31.98"
"Tamil Nadu","71.85","74.56","77.13"
"Tripura","13.18","13.75","18.19"
"Uttar Pradesh","53.68","62.44","65.44"
"Uttarakhand","79.60","81.03","80.08"
"West Bengal","32.68","35.62","36.11"
