State/UT,General education courses - Arts - Total - 2008-09,General education courses - Arts - Total - 2009-10,General education courses - Arts - Total - 2010-11,General education courses - Arts - Women - 2008-09,General education courses - Arts - Women - 2009-10,General education courses - Arts - Women - 2010-11,General education courses - Science - Total - 2008-09,General education courses - Science - Total - 2009-10,General education courses - Science - Total - 2010-11,General education courses - Science - Women - 2008-09,General education courses - Science - Women - 2009-10,General education courses - Science - Women - 2010-11,General education courses - Commerce - Total - 2008-09,General education courses - Commerce - Total - 2009-10,General education courses - Commerce - Total - 2010-11,General education courses - Commerce - Women - 2008-09,General education courses - Commerce - Women - 2009-10,General education courses - Commerce - Women - 2010-11,General education courses - TOTAL - Total - 2008-09,General education courses - TOTAL - Total - 2009-10,General education courses - TOTAL - Total - 2010-11,General education courses - TOTAL - Women - 2008-09,General education courses - TOTAL - Women - 2009-10,General education courses - TOTAL - Women - 2010-11,Professional education courses - Education - Total - 2008-09,Professional education courses - Education - Total - 2009-10,Professional education courses - Education - Total - 2010-11,Professional education courses - Education - Women - 2008-09,Professional education courses - Education - Women - 2009-10,Professional education courses - Education - Women - 2010-11,"Professional education courses - Engineering-Tech,Including Polytechnic - Total - 2008-09","Professional education courses - Engineering-Tech,Including Polytechnic - Total - 2009-10","Professional education courses - Engineering-Tech,Including Polytechnic - Total - 2010-11","Professional education courses - Engineering-Tech,Including Polytechnic - Women - 2008-09","Professional education courses - Engineering-Tech,Including Polytechnic - Women - 2009-10","Professional education courses - Engineering-Tech,Including Polytechnic - Women - 2010-11",Professional education courses - Medicine - Total - 2008-09,Professional education courses - Medicine - Total - 2009-10,Professional education courses - Medicine - Total - 2010-11,Professional education courses - Medicine - Women - 2008-09,Professional education courses - Medicine - Women - 2009-10,Professional education courses - Medicine - Women - 2010-11,Professional education courses - Agriculture - Total - 2008-09,Professional education courses - Agriculture - Total - 2009-10,Professional education courses - Agriculture - Total - 2010-11,Professional education courses - Agriculture - Women - 2008-09,Professional education courses - Agriculture - Women - 2009-10,Professional education courses - Agriculture - Women - 2010-11,Professional education courses - Law - Total - 2008-09,Professional education courses - Law - Total - 2009-10,Professional education courses - Law - Total - 2010-11,Professional education courses - Law - Women - 2008-09,Professional education courses - Law - Women - 2009-10,Professional education courses - Law - Women - 2010-11,Professional education courses - Others - Total - 2008-09,Professional education courses - Others - Total - 2009-10,Professional education courses - Others - Total - 2010-11,Professional education courses - Others - Women - 2008-09,Professional education courses - Others - Women - 2009-10,Professional education courses - Others - Women - 2010-11,Professional education courses - Total - Total - 2008-09,Professional education courses - Total - Total - 2009-10,Professional education courses - Total - Total - 2010-11,Professional education courses - Total - Women - 2008-09,Professional education courses - Total - Women - 2009-10,Professional education courses - Total - Women - 2010-11
Andhra Pradesh,111663,1270966,,38511,60376,,419472,359305,,144944,142482,,221362,208341,,79702,86376,,752497,1701450,,263157,289234,,53278,43803.0,,16007,12482,,364456,397161,,120270,130555,,7247,12731.0,,2633,4095,,3636,5760,,1666,2585,,7346,5597,,2220,1643,,61112,41725,,19633,14415,,497075,506777,,162429,165775,
Arunachal Pradesh,9816,11449,,4572,5167,,785,915,,397,454,,688,891,,220,332,,11289,284277,,5189,5953,,200,200.0,,114,114,,3301,3185,,1024,834,,144,144.0,,98,101,,0,0,,0,0,,95,95,,11,11,,212,211,,81,39,,3952,3835,,1328,1099,
Assam,153159,153317,,61593,61719,,35560,35940,,6699,6839,,17817,17817,,2621,2621,,188719,345886,,70913,71179,,2932,2932.0,,1221,921,,3049,8998,,837,1994,,2853,2853.0,,896,896,,922,922,,306,424,,7581,7581,,1792,1792,,916,731,,418,367,,18253,24017,,5470,6394,
Bihar,454761,612929,,157169,215007,,163097,156309,,32682,45741,,62258,72276,,10829,11165,,680116,781352,,200680,271913,,7333,7333.0,,2590,2959,,8892,8883,,951,960,,10040,,,2585,2650,,439,1438,,45,341,,14499,14830,,2701,2939,,17828,47745,,6735,15217,,59031,80229,,15607,25066,
Chhattisgarh,165520,291377,,87931,113154,,30816,53011,,16144,24068,,34145,45302,,15016,19407,,230481,555968,,119091,156629,,6121,6121.0,,3445,4573,,19629,55535,,4365,12168,,5295,10341.0,,2867,4075,,4037,1124,,520,256,,2737,5067,,1185,1540,,1444,5264,,557,2003,,39263,83452,,12939,24615,
Goa,4713,5491,,3508,4139,,4241,4611,,2371,2653,,8534,8500,,5061,5322,,17488,133139,,10940,12114,,272,272.0,,232,228,,3411,3550,,1296,1371,,1484,6515.0,,1078,1021,,0,192,,0,103,,732,819,,392,441,,1387,1332,,680,716,,7286,12680,,3678,3880,
Gujarat,225780,212125,,117483,105119,,74627,75994,,31953,31606,,144206,171879,,60979,74855,,444613,341804,,210415,211580,,44095,44095.0,,20616,26320,,93413,105868,,17522,19132,,29105,1430.0,,11801,13662,,3394,3394,,468,468,,11119,9532,,4044,3737,,43906,70070,,16754,24806,,225032,234389,,71205,88125,
Haryana,185485,157315,,94570,80783,,23367,40612,,12331,21820,,38079,42282,,17944,20434,,246931,263885,,124845,123037,,57742,57742.0,,31699,43596,,127480,113438,,35652,29360,,8596,32834.0,,4327,4327,,890,1271,,103,193,,3976,4475,,1037,1029,,25542,30824,,6349,28834,,224226,240584,,79167,107339,
Himachal Pradesh,53869,67871,,32103,38030,,15884,19160,,9073,10626,,8549,12752,,3244,5029,,78302,146882,,44420,53685,,7097,7097.0,,5527,6848,,8204,12596,,1821,2994,,2748,8596.0,,1553,3251,,882,973,,389,453,,1183,1713,,444,709,,5949,9713,,2047,4106,,26063,40688,,11781,18361,
Jammu and Kashmir,96095,118119,,45952,56527,,18383,6552,,9006,2344,,3356,15716,,1616,7087,,117834,438584,,56574,65958,,41058,41058.0,,16666,20096,,3972,3972,,1090,1090,,3620,5284.0,,1807,1809,,982,920,,196,247,,2154,2789,,771,1136,,3239,2572,,1255,1026,,55025,56595,,21785,25404,
Jharkhand,102851,102860,,37603,37609,,29952,29974,,9356,9364,,40372,40372,,10774,12878,,173175,263987,,57733,59851,,1409,1409.0,,940,940,,11772,11772,,2349,2349,,552,3671.0,,163,163,,398,398,,79,79,,1878,1878,,222,222,,2168,1970,,558,580,,18177,21098,,4311,4333,
Karnataka,161930,360702,,78606,174619,,50753,95618,,28902,51180,,90572,193486,,41818,88114,,303255,828302,,149326,313913,,9489,9489.0,,4902,4902,,181555,181830,,66093,71651,,69992,552.0,,32539,32539,,4636,4594,,1483,1696,,6968,9380,,1445,2226,,57816,6480,,25094,2903,,330456,212325,,131556,115917,
Kerala,89217,82050,,60311,52158,,71904,76890,,52187,55827,,38863,40309,,22014,23168,,199984,692070,,134512,131153,,3541,3544.0,,3046,3159,,98792,101274,,33709,34592,,18360,69992.0,,12440,12440,,987,987,,453,453,,3309,3309,,1880,1880,,4304,4454,,2177,2330,,129293,183560,,53705,54854,
Madhya Pradesh,327908,345734,,169247,159593,,33954,307385,,61092,129394,,122583,186475,,52249,82995,,484445,665681,,282588,371982,,15648,15648.0,,7889,6135,,5045,50315,,11458,12323,,3575,18360.0,,670,7477,,3301,2303,,682,574,,22697,18986,,5180,4529,,8299,58693,,2383,20955,,58565,164305,,28262,51993,
Maharashtra,667811,636929,,329584,345299,,314112,294885,,111523,98247,,408153,553689,,186690,89584,,1390076,946410,,627797,533130,,63489,63489.0,,33020,37810,,246032,280603,,58702,78560,,23814,16340.0,,7929,11063,,12671,12671,,3397,3397,,35166,38420,,14183,15622,,70271,74983,,27004,33972,,451443,486506,,144235,180424,
Manipur,13858,16375,,6402,7424,,10060,11339,,4295,4839,,1348,896,,1136,299,,25266,32161,,11833,12562,,854,854.0,,515,544,,395,494,,130,150,,170,28732.0,,68,69,,679,74,,266,29,,521,414,,189,145,,256,284,,104,135,,2875,30852,,1272,1072,
Meghalaya,26868,22638,,15776,12678,,3791,2605,,1792,1290,,2618,1531,,827,628,,33277,39017,,18395,14596,,926,926.0,,420,471,,397,519,,91,116,,94,171.0,,85,159,,0,0,,0,0,,1417,905,,611,417,,698,365,,308,197,,3532,2886,,1515,1360,
Mizoram,6685,8180,,3299,3858,,1823,1147,,583,427,,431,395,,189,162,,8939,64877,,4071,4447,,211,201.0,,155,165,,32,76,,12,26,,373,176.0,,298,140,,236,245,,97,100,,198,271,,77,94,,622,606,,407,446,,1672,1575,,1046,971,
Nagaland,19256,23512,,9242,11751,,1787,2227,,694,1023,,3047,3049,,1102,1000,,24090,135797,,11038,13774,,277,277.0,,160,98,,0,0,,0,0,,0,207.0,,0,0,,241,56,,107,24,,368,412,,126,132,,1681,2602,,826,12373,,2567,3554,,1219,12627,
Orissa,130524,138005,,36384,38153,,45171,54778,,10120,12370,,34270,34573,,4946,5027,,209965,369403,,51450,55550,,812,812.0,,331,345,,51231,113767,,6832,21975,,10587,27430.0,,3566,17505,,693,693,,290,290,,5319,8414,,893,2267,,38324,36706,,12421,6832,,106966,187822,,24333,49214,
Punjab,133766,31036,,79216,78673,,31521,27222,,21396,20401,,22860,23093,,11477,10984,,188147,60362,,112089,110058,,6019,6019.0,,4529,1975,,53879,54001,,11587,14310,,10663,11530.0,,7352,7424,,1331,1286,,430,396,,504,1389,,158,451,,4817,19985,,1857,6832,,77213,94210,,25913,31388,
Rajasthan,274857,295193,,119021,127389,,62160,64010,,28599,27565,,54953,65298,,19141,21666,,391970,661749,,166761,176620,,46994,46994.0,,22668,22668,,602,96007,,11638,17339,,13633,13633.0,,4057,4057,,3425,3602,,592,693,,9346,7280,,2194,1750,,13266,13427,,5192,5313,,87266,180943,,46341,51820,
Sikkim,4008,2841,,2233,1647,,786,730,,313,270,,503,412,,209,187,,5297,14835,,2755,2104,,214,214.0,,124,136,,63688,2113,,474,706,,743,778.0,,299,358,,0,0,,0,0,,393,391,,184,197,,257,427,,81,180,,65295,3923,,1162,1577,
Tamil Nadu,250420,274961,,118706,138791,,296889,308103,,157896,156254,,135061,145716,,66852,7501,,682370,1456085,,343454,302546,,22034,22034.0,,13837,43749,,1993,196983,,71787,63706,,44180,44180.0,,25221,25221,,874,1179,,492,688,,8836,8836,,2657,2657,,63337,67515,,28094,30000,,141254,340727,,142088,166021,
Tripura,22963,21454,,10894,10123,,2875,2814,,1085,1011,,1523,1476,,114,130,,27361,261769,,12093,11264,,377,277.0,,173,217,,208583,2481,,405,541,,427,513.0,,144,177,,134,163,,49,67,,598,557,,239,229,,1123,777,,459,290,,211242,4768,,1469,1521,
Uttar Pradesh,1304169,1508377,,573781,672829,,344184,324401,,110459,127288,,201685,211890,,80810,72904,,1850038,2225563,,765050,873021,,73256,73256.0,,19448,19418,,1689,96071,,12119,34942,,11751,11751.0,,3509,3509,,24400,22322,,1611,1343,,49117,46956,,8067,9939,,36477,24215,,13091,6633,,196690,274571,,57845,75784,
Uttarakhand,73299,323581,,46658,208268,,21717,27681,,11045,16935,,23467,28573,,9350,12298,,118483,351262,,67053,237501,,2198,2198.0,,1440,1443,,62158,6530,,567,867,,1811,1881.0,,432,432,,466,346,,45,0,,838,1494,,188,279,,2542,2668,,862,927,,70013,15117,,3534,3948,
West Bengal,603575,630818,,293191,302834,,113996,147339,,44573,65462,,92135,10829,,22894,24489,,809706,778157,,360658,392785,,9186,9186.0,,3775,3948,,54968,62940,,11425,14480,,13679,13535.0,,4191,4249,,21917,21896,,2415,2416,,6904,7124,,2996,3050,,12704,18162,,4252,63320,,119358,132843,,29054,91463,
Andaman and Nicobar Islands,1967,1934,,1143,1101,,375,355,,223,210,,495,455,,213,213,,2837,2917,,1579,1524,,216,216.0,,174,174,,0,97,,0,34,,0,0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,106,319,,54,221,,322,632,,228,429,
Chandigarh,26378,13533,,12604,6423,,8261,6583,,5615,4527,,10510,6570,,5518,4114,,45149,20386,,23737,15064,,2408,2408.0,,1894,635,,5037,2655,,1113,582,,1013,525.0,,652,356,,0,0,,0,0,,2115,2114,,751,954,,2192,2268,,1302,1409,,12765,9970,,5712,3936,
Dadra and Nagar Haveli,165,165,,86,86,,532,532,,223,223,,717,717,,319,319,,1414,192541,,628,628,,46,46.0,,13,13,,0,0,,0,0,,188,188.0,,101,101,,0,0,,0,0,,0,0,,0,0,,187,255,,41,58,,421,489,,155,172,
Daman and Diu,228,256,,147,153,,48,74,,25,38,,146,219,,60,79,,422,554,,232,270,,160,160.0,,142,142,,0,0,,0,0,,0,0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,0,0,,160,160,,142,142,
Delhi,50726,221181,,28421,123436,,46163,45681,,15558,15031,,61358,121602,,10632,53377,,158247,278984,,54611,191844,,1662,1662.0,,684,4011,,14459,22087,,2519,3988,,4758,6487.0,,2377,3316,,1219,1281,,292,296,,6727,5564,,1841,1695,,9825,30203,,3209,15271,,38650,67284,,10922,28577,
Lakshadweep,156,86,,116,69,,65,127,,37,89,,110,104,,59,66,,331,6508596,,212,224,,0,,,0,43,,0,0,,0,0,,0,0.0,,0,0,,0,0,,0,0,,0,0,,0,0,,43,43,,43,30,,43,43,,43,73,
Puducherry,14303,14303,,8308,8308,,3772,3772,,2470,2470,,2092,2092,,1344,1344,,20167,18075,,12122,12122,,42,4632.0,,3102,3102,,9762,9762,,3156,3156,,2892,2892.0,,2037,2037,,201,194,,71,71,,561,561,,156,156,,587,587,,182,182,,14045,18628,,8704,8704,
