States,Availability of Kitchen Sheds in the School (% age),Condition of Kitchen Shed (%age)- Good,Condition of Kitchen Shed (%age)- Average,Condition of Kitchen Shed (%age)- Poor,Functional (%age)
Andhra Pradesh,37.5,73.33,20,6.67,76
Arunachal Pradesh,11.76,50,0,50,100
Bihar,42.5,38.89,11.11,50,72
Haryana,0,NA,NA,NA,NA
Himachal Pradesh,5,100,0,0,50
Jammu & Kashmir,0,NA,NA,NA,NA
Jharkhand,33.33,45.45,27.27,27.27,100
Karnataka,75,47.62,33.33,19.05,95.23
Kerala,100,30,40,30,95
Madhya Pradesh,42.5,76.47,23.53,0,100
Maharashtra,20,62.5,25,12.5,100
Meghalaya,20,75,25,0,100
Punjab,0,NA,NA,NA,NA
Rajasthan,60,66.67,33.33,0,79.16
Tamil Nadu,100,13.33,66.67,20,96.67
Uttar Pradesh,47.5,94.74,5.26,0,94.73
West Bengal,80,16.67,62.5,20.83,95.83
Sample Average,44.58,48.59,34.57,16.82,90.69
