States/Union Territories,Intermediate/ Senior Secondary Schools,High/ Secondary Schools,Upper Primary Schools,Primary Schools,Pre-Primary Schools
Andhra Pradesh,90,96,88,93,NA
Arunachal Pradesh,60,36,18,9,NA
Assam,29,29,41,83,NA
Bihar,95,98,90,85,100
Chhattisgarh,78,68,74,72,42
Goa,91,100,99,94,NA
Gujarat,100,100,100,0,NA
Haryana,100,100,100,100,NA
Himachal Pradesh,100,100,100,100,NA
Jammu and Kashmir,59,54,48,40,NA
Jharkhand,NA,NA,NA,NA,NA
Karnataka,100,100,100,100,NA
Kerala,100,100,100,100,NA
Madhya Pradesh,78,78,89,87,NA
Maharashtra,99,96,96,96,99
Manipur,43,42,35,36,100
Meghalaya,36,36,36,45,NA
Mizoram,31,43,53,44,NA
Nagaland,32,25,19,24,NA
Odisha,100,92,91,88,NA
Punjab,100,100,100,100,NA
Rajasthan,91,91,81,86,100
Sikkim,58,55,42,68,NA
Tamil Nadu,100,100,100,100,NA
Tripura,90,86,47,94,NA
Uttar Pradesh,97,97,95,98,NA
Uttarakhand,100,100,100,100,NA
West Bengal,66,69,35,48,NA
Andaman and Nicobar Islands,100,99,99,95,84
Chandigarh,98,99,96,96,NA
Dadra and Nagar Haveli,95,94,96,98,NA
Daman and Diu,96,100,96,93,95
Delhi,100,100,100,100,100
Lakshadweep,100,100,100,100,100
Puducherry,98,97,99,99,85
INDIA,90,90,87,85,92
