Sl. No.,STATE/U.T.,Type of Management - Government,Type of Management - Local Body,Type of Management - Private Aided,Type of Management - Private Unaided
1,Andaman  Nicobar Islands,43,2,2,6
2,Andhra Pradesh,1084,38,218,1880
3,Arunachal Pradesh,87,2,11,11
4,Assam,732,59,36,23
5,Bihar,959,24,214,65
6,Chandigarh,44,0,4,25
7,Chhattisgarh,1543,63,134,887
8,Dadra  Nagar Haveli,7,0,1,2
9,Daman  Diu,8,1,0,2
10,Delhi,735,14,161,436
11,Goa,16,5,55,1
12,Gujarat,260,93,1797,1001
13,Haryana,1604,16,163,1311
14,Himachal Pradesh,1248,41,30,300
15,Jammu  Kashmir,592,7,10,232
16,Jharkhand,211,7,44,89
17,Karnataka,1141,98,645,623
18,Kerala,926,17,685,681
19,Lakshadweep,13,0,0,0
20,Madhya Pradesh,3082,110,280,2246
21,Maharashtra,217,207,4060,593
22,Manipur,49,1,1,78
23,Meghalaya,33,5,68,11
24,Mizoram,26,4,30,40
25,Nagaland,18,3,8,62
26,Orissa,153,24,133,262
27,Puducherry,57,0,11,37
28,Punjab,1583,42,311,689
29,Rajasthan,3151,58,249,2707
30,Sikkim,42,0,3,5
31,Tamil Nadu,2219,77,1079,1897
32,Tripura,283,1,27,10
33,Uttar Pradesh,775,232,3891,3777
34,Uttarakhand,1020,10,270,294
35,West Bengal,847,586,2671,158
INDIA,INDIA,24808,1847,17302,20441
