Sl. No.,STATE/U.T.,Type of Management - Government,Type of Management - Local Body,Type of Management- Private Aided,Type of Management- Private Unaided
1,Andaman  Nicobar Islands,41,0,0,4
2,Andhra Pradesh,1895,8256,871,6798
3,Arunachal Pradesh,131,5,17,39
4,Assam,2560,513,820,245
5,Bihar,2236,19,377,68
6,Chandigarh,44,0,2,22
7,Chhattisgarh,1246,41,33,518
8,Dadra  Nagar Haveli,12,0,2,3
9,Daman  Diu,13,0,3,2
10,Delhi,206,9,29,232
11,Goa,85,6,271,16
12,Gujarat,439,220,2930,1629
13,Haryana,1709,16,69,1656
14,Himachal Pradesh,846,57,23,394
15,Jammu  Kashmir,1190,78,33,832
16,Jharkhand,1148,21,339,222
17,Karnataka,4069,321,2691,4058
18,Kerala,270,14,685,467
19,Lakshadweep,2,0,0,0
20,Madhya Pradesh,3618,84,98,1997
21,Maharashtra,667,789,9978,3367
22,Manipur,204,16,94,340
23,Meghalaya,66,45,489,93
24,Mizoram,216,16,131,114
25,Nagaland,123,8,8,202
26,Orissa,5397,78,1838,886
27,Puducherry,69,0,21,85
28,Punjab,1941,23,283,1241
29,Rajasthan,6752,88,200,4527
30,Sikkim,108,1,2,19
31,Tamil Nadu,2222,61,640,1747
32,Tripura,423,1,9,25
33,Uttar Pradesh,279,75,1036,4114
34,Uttarakhand,814,7,77,213
35,West Bengal,1078,714,2954,77
INDIA,INDIA,42119,11582,27053,36252
