School Type,India/ State/ UTs,Gender,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Primary School,India,Total,1928075,1912931,2096858,2160666,2151370,2323286,2315081,2229563,2216973,2100462
Primary School,India,Male,NA,1166575,1259892,1318660,1327733,1402877,1288050,1285331,1208097,1193893
Primary School,India,Female,NA,746356,836966,842006,823637,920409,1027031,944232,1008876,906569
Primary School,Andaman and Nicobar Islands,Total,900,788,956,954,891,990,1007,912,1028,1073
Primary School,Andaman and Nicobar Islands,Male,NA,401,422,414,383,406,390,367,400,398
Primary School,Andaman and Nicobar Islands,Female,NA,387,534,540,508,584,617,545,628,675
Primary School,Andhra Pradesh,Total,127321,179961,172601,166935,166790,167723,167059,183197,169159,174069
Primary School,Andhra Pradesh,Male,NA,104937,96649,91782,91079,89116,87704,95486,86114,86085
Primary School,Andhra Pradesh,Female,NA,75024,75952,75153,75711,78607,79355,87711,83045,87984
Primary School,Arunachal Pradesh,Total,3461,3218,3195,3630,3790,4069,4209,4307,4610,4976
Primary School,Arunachal Pradesh,Male,NA,2235,2259,2518,2511,2709,2940,2938,3125,3292
Primary School,Arunachal Pradesh,Female,NA,983,936,1112,1279,1360,1269,1369,1485,1684
Primary School,Assam,Total,87317,86112,83919,82888,80072,85691,89102,89102,86676,86676
Primary School,Assam,Male,NA,56833,55018,53811,51550,55990,57837,57837,55114,55114
Primary School,Assam,Female,NA,29279,28901,29077,28522,29701,31265,31265,31562,31562
Primary School,Bihar,Total,80917,78204,95815,73202,75703,98582,146893,147338,141295,159907
Primary School,Bihar,Male,NA,63973,78568,59187,60187,71263,93893,93535,87761,97513
Primary School,Bihar,Female,NA,14231,17247,14015,15516,27319,53000,53803,53534,62394
Primary School,Chandigarh,Total,285,300,315,258,231,428,448,368,385,222
Primary School,Chandigarh,Male,NA,37,62,46,46,67,76,36,40,26
Primary School,Chandigarh,Female,NA,263,253,212,185,361,372,332,345,196
Primary School,Chhattisgarh,Total,73871,58348,68512,68819,80659,75192,76525,94793,105037,107846
Primary School,Chhattisgarh,Male,NA,43468,50044,49712,55843,54167,55131,62888,67179,67874
Primary School,Chhattisgarh,Female,NA,14880,18468,19107,24816,21025,21394,31905,37858,39972
Primary School,Dadra and Nagar Haveli,Total,213,225,678,541,553,644,440,872,998,1019
Primary School,Dadra and Nagar Haveli,Male,NA,143,291,259,268,351,254,485,547,459
Primary School,Dadra and Nagar Haveli,Female,NA,82,387,282,285,293,186,387,451,560
Primary School,Daman and Diu,Total,397,277,426,426,467,467,495,405,405,512
Primary School,Daman and Diu,Male,NA,92,99,99,80,80,81,141,141,105
Primary School,Daman and Diu,Female,NA,185,327,327,387,387,414,264,264,407
Primary School,Delhi,Total,35449,22611,24699,24744,27431,23907,23326,26232,27983,28688
Primary School,Delhi,Male,NA,7408,7784,7714,6728,7467,6233,7693,8373,8353
Primary School,Delhi,Female,NA,15203,16915,17030,20703,16440,17093,18539,19610,20335
Primary School,Goa,Total,2759,2523,2313,2203,3232,3741,3931,3812,3904,3950
Primary School,Goa,Male,NA,476,445,398,433,451,428,423,380,373
Primary School,Goa,Female,NA,2047,1868,1805,2799,3290,3503,3389,3524,3577
Primary School,Gujarat,Total,28389,18208,18482,36039,37187,39980,43480,NA,NA,NA
Primary School,Gujarat,Male,NA,7996,8116,16928,15790,24906,26406,NA,NA,NA
Primary School,Gujarat,Female,NA,10212,10366,19111,21397,15074,17074,NA,NA,NA
Primary School,Haryana,Total,50295,39029,46565,49891,50621,28927,30124,22916,31523,27944
Primary School,Haryana,Male,NA,19810,22679,25085,25381,15076,15277,11081,16291,14823
Primary School,Haryana,Female,NA,19219,23886,24806,25240,13851,14847,11835,15232,13121
Primary School,Himachal Pradesh,Total,29201,29018,28738,28201,30948,30519,30733,30142,30318,29740
Primary School,Himachal Pradesh,Male,NA,16231,16598,15596,15266,16583,16676,16369,16852,16227
Primary School,Himachal Pradesh,Female,NA,12787,12140,12605,15682,13936,14057,13773,13466,13513
Primary School,Jammu and Kashmir,Total,27532,26339,29846,31910,38686,38686,31899,44333,59148,59376
Primary School,Jammu and Kashmir,Male,NA,16069,17771,19697,22881,22881,18822,26253,35870,35910
Primary School,Jammu and Kashmir,Female,NA,10270,12075,12213,15805,15805,13077,18080,23278,23466
Primary School,Jharkhand,Total,31432,30193,31150,30102,32764,42629,50537,50537,NA,NA
Primary School,Jharkhand,Male,NA,23899,24806,23858,25144,33736,31974,31974,NA,NA
Primary School,Jharkhand,Female,NA,6294,6344,6244,7620,8893,18563,18563,NA,NA
Primary School,Karnataka,Total,47504,61004,51308,64271,52056,66217,71877,62540,59457,61049
Primary School,Karnataka,Male,NA,34958,27772,39371,28172,34818,25879,32059,30574,30547
