"States\UTs","No. of Unserved - Habitations (2002)*","No. of Unserved  -Habitations (2007)**"
"Andhra Pradesh","4216","2234"
"Andaman & Nicobar Islands","244","2"
"Arunachal Pradesh","2043","1328"
"Assam","9651","1661"
"Bihar","7014","2903"
"Chandigarh","5","0"
"Chhattisgarh","3103","3741"
"Daman & Diu","12","0"
"Delhi","36","0"
"Goa","62","67"
"Gujarat","1800","NA"
"Haryana","732","0"
"Himachal Pradesh","9369","0"
"Jammu & Kashmir","4175","1981"
"Jharkhand","11470","0"
"Karnataka","7221","0"
"Kerala","1353","0"
"Lakshadweep","0","0"
"Madhya Pradesh","3788","0"
"Maharashtra","6454","219"
"Manipur","791","187"
"Meghalaya","1043","851"
"Mizoram","77","22"
"Nagaland","71","0"
"Orissa","14528","797"
"Puducherry","12","10"
"Punjab","1118","0"
"Rajasthan","9846","3121"
"Sikkim","317","9"
"Tamil Nadu","6505","380"
"Tripura","1180","508"
"Dadra & Nagar Haveli","52","26"
"Uttar Pradesh","27427","9897"
"Uttarakhand","4568","909"
