"Name of the River","Length(Km)","No. of Monitoring locations","Year","Temp.(in degree Centigrade)","pH","Conductivity(μmhos/cm)","Dissolved Oxygen(D.O.)(mg/l)","Biochemical oxygen demand(B.O.D.)(mg/l)","Total Coliform(MPN/100 ml)","Faecal Coliform(MPN/100 ml)"
"Ganga","2525","34","2002","3-34","6.4-9.0","19-2720","2.7-11.5","0.5 – 16.8","300-25x105","20-11x105"
"Ganga","2525","34","2003","4-34","6.8-8.9","49-1323","4-11","0.8-27","47-45x105","26-12x105"
"Ganga","2525","34","2004","5-35","7-8.8","72-4080","0.3-13.2","0.7-14.4","11-45x105","11-7x105"
"Ganga","2525","39","2005","4-39","6.1-9","23-1696","3.2-12.8","0.1-15.2","13-45x105","13-11x105"
"Ganga","2525","39","2006","9-33","7.0-8.88","97-5620","2.2-11.9","0.1-16.4","1-25x105","17-11x105"
"Ganga","2525","39","2007","4-33","6.1-8.8","23-5040","1.4-11","0-14","0-28x105","0-7 x105"
"Ganga","2525","39","2008","2.5-35.5","6.1-8.9","39-6320","1.2 - 11.6","0.5-21.0","0- 101 x105","0 - 85 x104"
"Ganga","2525","57","2009","4-37","6.5-8.9","68-4460","4.3-11.2","0.2-16","2-65 x104","0-4 x105"
"Ganga","2525","57","2010","4-35","6.7-9.0","21-5250","3.6-12","0.2-15","3-14 x105","2-4 x105"
"Ganga","2525","61","2011","3-37","6.7-9.1","49-10240","4-14.3","0.2-11","5-25 x105","5-11 x105"
"Yamuna","1376","23","2002","3-34","6.7-9.8","56-1959","0.1-22.7","1.0 – 36","27-26.3x106","11-17.2x105"
"Yamuna","1376","23","2003","2-38","6.6-10","45-3500","0.3-22.8","1-58","110-171x107","40-203x106"
"Yamuna","1376","23","2004","7-35","6.8-9","76-2150","0.3-19.5","1-40","21-1103x106","18-62x106"
"Yamuna","1376","23","2005","11-37","6.8-9.1","90-2290","0.5-17.3","0.8-59","14-307x106","11-52x105"
"Yamuna","1376","23","2006","4-34","7.14-9.5","220-1876","1.3-18.8","1.0-144","7-231x107","2-13x106"
"Yamuna","1376","23","2007","6.5-34","5-8.4","57-1940","0-17.7","0-93","0-32 x107","0-23 x106"
"Yamuna","1376","23","2008","7.5-32","6.8 - 9.5","40-3340","0.0 - 20.6","0.4-70.0","0 - 103x106","11 -109x105"
"Yamuna","1376","27","2009","5-35","7.0 - 8.8","80 - 3040","0.0 - 17.9","0.2 - 103","4 - 23 x109","9 - 21 x108"
"Yamuna","1376","27","2010","5-35","6.1-9.4","100-2220","0.0-21.1","08-84","13 - 39x107","9 - 29x106"
"Yamuna","1376","32","2011","4-38","6.9-8.8","60-1905","0-17","0.2-41","10-16 x108","4-11 x108"
"Mahi","583","7","2002","19-34","7.1-9.2","175-5720","0.2-8.5","0.1 – 3.0","3-2400","3-75"
"Mahi","583","7","2003","18-34","7-8.8","97-750","2.9-10.1","0.5-3.9","4-2400","2-28"
"Mahi","583","7","2004","20-34","7.4-9.2","166-650","2.7-8.7","0.3-4.9","4-1600","2-28"
"Mahi","583","9","2005","20-32","7.5-9","182-7080","4.1-11.1","0.2-5.9","3-14x103","2-1x103"
"Mahi","583","9","2006","16-28","7.2-8.9","263-580","7.3-12.1","1.1-8.5","3-180","2-9"
"Mahi","583","9","2007","20-31","7.6-8.89","234-3720","0.4-10.7","0.3-5.7","4-160","0-11"
"Mahi","583","9","2008","20- 32","7.2-8.9","225-1660","4.6-13","0.2-6.8","0-210","0- 18"
"Mahi","583","9","2009","22-32","7.1-10","160-766","3.5-8.6","0.1-4.0","3-170","0-9"
"Mahi","583","9","2010","20 - 34","7.4 – 8.7","230-7234","3.5 – 9.9","0.22- 4.0","4 - 110","0 -7"
"Mahi","583","11","2011","18-36.5","7.1-9.1","256 -1310","3.2-8.9","0.6 -8.0","7-28","2-9"
"Tapi","724","10","2002","20-40","7.4-9.0","76-700","4.8-8.8","0.6 – 10.0","40-2100","2-210"
"Tapi","724","10","2003","18-36","3.1-9.2","119-1130","3.1-10.4","1-10","30-930","2-230"
"Tapi","724","10","2004","13-39","3.1-9.5","190-790","1.2-8.7","0.7-36","3-5X105","2-9X104"
"Tapi","724","13","2005","26-30","7.2-9.4","186-1084","4-8.4","1-25.1","2-46X104","2-15X104"
"Tapi","724","13","2006","14-31","7.7-9.28","161-923","4.6-9.7","0.3-24","5-11X104","2-11X104"
"Tapi","724","14","2007","23-39","7.3-8.5","210-581","3.7-8.7","1.1-25","17-46 x103","7-15 x103"
"Tapi","724","14","2008","19-41","6.6-8.9","132-26000","2.1- 8.8","0.1-21","0-46 X104","0-24 X104"
"Tapi","724","14","2009","18-42","6.2-8.9","173-45400","3.7-8.2","0.6-12","14-39000","0-14000"
"Tapi","724","14","2010","15 - 42","7.0-8.7","125- 39400","1 -8.1","0.4 - 16","9- 9300","0 - 4300"
"Tapi","724","14","2011","24-41.5","7.0-8.7","172-41836","3.2-7.6","1.2-10","22-24000","9 -9000"
"Narmada","1312","14","2002","NA","6.9-9.3","102-1341","5.8-9.8","0.1 – 3.8","9-2400","2-64"
"Narmada","1312","14","2003","12-31","7.1-8.5","95-441","4.5-9.5","0.4-3.3","4-1600","1-110"
"Narmada","1312","14","2004","15-34","7-8.6","181-815","5.5-9.6","0.2-3.8","3-2400","2-15"
"Narmada","1312","15","2005","21-30","3.3-9","190-1746","4.8-10.9","0.6-4.5","3-2400","2-210"
"Narmada","1312","15","2006","9-32","7.1-8.6","188-682","6.2-11","0.4-3.7","3-2400","0-39"
