"States/UT","Boys Toilet - Primary Schools 2012-13","Boys Toilet - All Schools 2012-13","Functional Boys Toilets - All Schools 2012-13 "
"A & N Islands","62.86","74.00","88.59"
"Andhra Pradesh","16.16","20.15","68.49"
"Arunachal Pradesh","15.35","25.10","86.38"
"Assam","62.70","61.76","76.06"
"Bihar","61.88","71.51","81.63"
"Chandigarh","100.00","100.00","98.92"
"Chhattisgarh","46.46","49.89","77.41"
"Dadra & Nagar Haveli","50.83","64.01","91.54"
"Daman & Diu","98.18","98.15","96.23"
"Delhi","100.00","100.00","100.00"
"Goa","61.59","69.54","91.26"
"Gujarat","52.30","75.31","95.45"
"Haryana","83.18","86.60","94.02"
"Himachal Pradesh","68.01","72.73","88.98"
"Jammu & Kashmir","14.13","25.43","81.34"
"Jharkhand","57.83","60.82","83.97"
"Karnataka","96.03","96.13","98.17"
"Kerala","60.82","68.82","88.68"
"Lakshadweep","55.56","72.73","75.00"
"Madhya Pradesh","74.26","72.26","76.88"
"Maharashtra","87.29","89.60","96.90"
"Manipur","66.44","70.57","79.50"
"Meghalaya","46.29","46.49","73.23"
"Mizoram","21.04","24.96","88.08"
"Nagaland","92.75","90.97","97.31"
"Odisha","17.17","21.10","75.23"
"Puducherry","87.27","92.44","98.56"
"Punjab","70.32","79.20","97.29"
"Rajasthan","68.22","77.60","91.00"
"Sikkim","44.80","55.18","92.32"
"Tamil Nadu","52.74","62.63","94.03"
"Tripura","25.05","33.83","88.06"
"Uttar Pradesh","95.34","95.54","97.22"
"Uttarakhand","57.48","61.63","85.54"
"West Bengal","34.76","39.85","88.94"
