"State/UT","Primary Schools 2010-11","Primary Schools 2011-12","Primary Schools 2012-13","All Schools 2010-11","All Schools 2011-12","All Schools 2012-13"
"A & N Islands","93.66","97.21","97.50","95.81","96.96","98.23"
"Andhra Pradesh","87.96","85.88","85.90","90.51","88.99","89.07"
"Arunachal Pradesh","73.46","71.93","68.89","78.16","77.96","76.21"
"Assam","74.63","76.26","80.04","76.12","77.32","80.87"
"Bihar","87.36","88.73","89.36","91.86","93.03","93.47"
"Chandigarh","100.00","100.00","100.00","100.00","100.00","100.00"
"Chhattisgarh","93.88","93.69","94.59","93.59","93.42","94.46"
"Dadra & Nagar Haveli","94.19","98.02","98.90","96.30","98.68","99.37"
"Daman & Diu","100.00","100.00","100.00","100.00","100.00","93.33"
"Delhi","100.00","100.00","100.00","100.00","100.00","100.00"
"Goa","98.71","99.51","98.22","98.93","99.40","97.90"
"Gujarat","95.82","99.97","99.62","97.89","99.99","99.57"
"Haryana","98.83","99.34","99.53","99.00","99.55","99.74"
"Himachal Pradesh","97.42","98.71","98.93","97.55","98.79","99.07"
"Jammu & Kashmir","81.84","76.76","84.14","86.93","82.70","88.42"
"Jharkhand","83.21","87.03","88.20","87.37","90.04","90.78"
"Karnataka","91.48","99.29","99.42","94.71","99.44","99.63"
"Kerala","99.12","96.89","97.28","99.35","95.85","97.81"
"Lakshadweep","100.00","100.00","100.00","100.00","100.00","100.00"
"Madhya Pradesh","90.48","97.89","95.87","91.17","98.01","96.24"
"Maharashtra","87.84","91.48","97.73","92.16","94.32","98.38"
"Manipur","86.37","93.09","84.60","89.20","94.77","88.27"
"Meghalaya","57.89","59.89","59.22","58.56","59.89","59.07"
"Mizoram","84.92","89.61","91.09","86.05","90.05","89.90"
"Nagaland","72.19","65.88","69.36","75.09","64.63","71.06"
"Odisha","85.29","92.87","94.32","88.65","94.36","94.79"
"Puducherry","100.00","100.00","100.00","100.00","100.00","99.86"
"Punjab","99.82","99.97","99.65","99.78","99.94","99.72"
"Rajasthan","92.21","92.38","91.59","94.68","95.07","94.85"
"Sikkim","97.51","94.98","95.28","98.17","96.52","96.95"
"Tamil Nadu","100.00","100.00","99.39","100.00","100.00","99.23"
"Tripura","76.28","66.77","80.71","82.38","75.35","85.71"
"Uttar Pradesh","99.33","99.34","98.81","98.16","98.45","98.02"
"Uttarakhand","93.27","95.70","95.95","92.98","95.56","95.62"
"West Bengal","95.36","97.37","97.54","95.37","97.18","97.43"
