"State/UTs","Primary Schools 2010-11","All Schools 2010-11","Primary Schools 2011-12","All Schools 2011-12","Primary Schools 2012-13","All Schools 2012-13"
"Andaman & Nicobar Islands","76.59","86.21","80.08","86.21","80.71","86.70"
"Andhra Pradesh","57.23","67.12","76.48","81.76","81.98","85.89"
"Arunachal Pradesh","9.04","20.72","10.10","22.89","10.80","24.52"
"Assam","5.09","11.50","5.74","12.18","7.02","13.93"
"Bihar","2.55","4.33","2.76","4.62","2.43","4.80"
"Chandigarh","100.00","100.00","100.00","100.00","100.00","100.00"
"Chhattisgarh","14.06","22.59","16.95","25.59","33.75","41.36"
"Dadra & Nagar Haveli","62.79","76.43","74.75","81.85","87.85","92.70"
"Daman & Diu","100.00","100.00","100.00","100.00","100.00","93.33"
"Delhi","98.13","98.96","99.69","99.80","99.54","99.73"
"Goa","96.54","97.38","97.85","98.41","97.53","97.49"
"Gujarat","94.52","97.48","97.58","98.90","97.69","98.65"
"Haryana","95.71","94.70","96.56","95.93","97.15","97.02"
"Himachal Pradesh","51.53","60.78","64.49","72.03","81.51","85.02"
"Jammu & Kashmir","8.73","19.56","8.64","19.27","9.07","20.37"
"Jharkhand","3.97","9.80","4.44","10.39","4.72","11.10"
"Karnataka","88.46","91.81","93.07","93.96","95.29","96.54"
"Kerala","88.26","90.75","85.66","87.47","87.63","90.70"
"Lakshadweep","100.00","100.00","100.00","100.00","100.00","100.00"
"Madhya Pradesh","9.99","20.57","10.62","22.55","10.38","23.14"
"Maharashtra","61.23","74.05","64.33","75.93","78.81","84.95"
"Manipur","5.13","23.05","5.39","24.13","6.27","24.25"
"Meghalaya","7.85","14.02","8.08","14.03","10.06","16.61"
"Mizoram","32.67","42.49","41.35","50.32","42.35","49.98"
"Nagaland","14.66","34.96","13.40","30.09","16.09","34.21"
"Odisha","8.40","20.40","9.16","21.80","10.51","23.88"
"Puducherry","99.66","99.86","99.65","99.86","100.00","100.00"
"Punjab","99.41","99.37","97.04","98.03","99.65","99.76"
"Rajasthan","14.46","39.39","15.54","44.50","17.89","48.16"
"Sikkim","44.04","60.03","44.21","56.68","48.79","61.53"
"Tamil Nadu","92.59","94.58","95.59","96.58","95.97","96.49"
"Tripura","2.93","14.32","3.28","15.79","9.35","19.81"
"Uttar Pradesh","26.76","29.27","32.28","34.84","34.97","38.48"
"Uttarakhand","28.39","40.78","43.55","53.64","52.25","60.98"
"West Bengal","21.34","28.84","24.76","31.71","28.99","35.48"
