"State/UTs","Primary Schools 2010-11","Primary Schools 2011-12","Primary Schools 2012-13","All Schools 2010-11","All Schools 2011-12","All Schools 2012-13"
"A & N Islands","18.54","17.93","24.56","25.12","21.96","36.70"
"Andhra Pradesh","13.45","16.98","70.07","15.94","19.60","71.10"
"Arunachal Pradesh","2.57","3.65","50.00","3.67","4.81","44.66"
"Assam","43.15","50.58","93.84","37.91","46.35","93.36"
"Bihar","35.92","45.06","77.49","47.36","57.51","83.62"
"Chandigarh","25.00","21.43","100.00","43.48","46.52","97.56"
"Chhattisgarh","38.39","40.01","72.14","38.58","40.17","71.65"
"Dadra & Nagar Haveli","11.05","15.84","100.00","24.24","20.79","66.67"
"Daman & Diu","45.61","49.18","66.67","40.00","50.44","75.00"
"Delhi","57.20","60.92","98.66","63.39","65.40","99.15"
"Goa","42.63","46.53","63.38","36.82","40.03","55.36"
"Gujarat","81.64","84.92","75.04","80.66","81.98","81.69"
"Haryana","58.86","63.80","87.40","56.86","60.84","86.35"
"Himachal Pradesh","50.69","56.80","92.41","45.73","51.70","91.05"
"Jammu & Kashmir","5.77","5.84","49.42","12.09","12.52","64.49"
"Jharkhand","24.68","30.10","58.81","31.20","36.56","63.61"
"Karnataka","55.48","60.65","91.84","60.94","58.76","93.18"
"Kerala","62.99","57.72","86.23","60.53","54.38","83.33"
"Lakshadweep","52.17","45.00","100.00","58.70","60.87","90.48"
"Madhya Pradesh","53.41","54.55","71.11","53.80","55.05","71.00"
"Maharashtra","77.59","78.15","91.09","65.11","64.96","86.68"
"Manipur","4.25","4.86","78.26","5.29","6.65","74.02"
"Meghalaya","15.92","18.36","59.96","16.48","19.40","61.02"
"Mizoram","44.31","50.26","68.35","40.56","46.61","74.07"
"Nagaland","32.05","9.26","81.47","26.72","8.22","78.91"
"Odisha","36.05","45.62","82.63","38.14","46.23","82.34"
"Puducherry","57.34","59.72","74.07","51.20","51.34","79.59"
"Punjab","63.18","76.05","74.30","53.75","63.34","73.45"
"Rajasthan","49.69","53.24","63.68","55.24","56.89","57.87"
"Sikkim","3.67","3.77","69.23","5.50","5.18","65.00"
"Tamil Nadu","54.75","59.18","83.59","58.81","62.33","84.99"
"Tripura","48.40","51.06","70.09","57.20","56.34","76.19"
"Uttar Pradesh","76.62","77.87","91.37","71.84","73.32","90.62"
"Uttarakhand","41.32","47.71","83.59","36.66","43.50","80.01"
"West Bengal","49.98","48.99","89.05","49.18","47.72","87.64"
