State/UT,play-ground-school-percentage
Andaman and Nicobar Islands,54.99
Andhra Pradesh,57.53
Arunachal Pradesh,33.17
Assam,51.95
Bihar,32.9
Chandigarh,95.21
Chhattisgarh,40.84
Dadra and Nagar Haveli,36.19
Daman and Diu,53.33
Delhi,73.88
Goa,42.62
Gujarat,73.82
Haryana,76.75
Himachal Pradesh,83.88
Jammu and Kashmir,35.99
Jharkhand,31.33
Karnataka,62.79
Kerala,68.31
Lakshadweep,38.64
Madhya Pradesh,56.71
Maharashtra,75.01
Manipur,51.15
Meghalaya,32.48
Mizoram,49.16
Nagaland,39.33
Orissa,29.65
Puducherry,66.57
Punjab,81.47
Rajasthan,48.39
Sikkim,64.03
Tamil Nadu,75.12
Tripura,60.21
Uttar Pradesh,73.35
Uttarakhand,57.17
West Bengal,33.08
