State/UT,private-schools-percentage
Andaman and Nicobar Islands,33.123689727463315
Andhra Pradesh,40.70472661864974
Arunachal Pradesh,22.93762575452716
Assam,29.72751064812439
Bihar,10.881735479356193
Chandigarh,63.89776357827476
Chhattisgarh,20.798437551722998
Dadra and Nagar Haveli,22.284122562674096
Daman and Diu,40.993788819875775
Delhi,59.14430746918057
Goa,60.33690658499234
Gujarat,47.264405738036324
Haryana,53.89849090674578
Himachal Pradesh,33.48069683970936
Jammu and Kashmir,29.14551468902499
Jharkhand,18.025354533734422
Karnataka,45.12231599188121
Kerala,71.83267615292303
Lakshadweep,26.984126984126984
Madhya Pradesh,32.168596426251206
Maharashtra,44.54246973608361
Manipur,47.234042553191486
Meghalaya,53.07017543859649
Mizoram,52.60908681961313
Nagaland,32.93637291595781
Orissa,40.33650467309326
Puducherry,56.775469831849655
Punjab,31.425523127753305
Rajasthan,40.60727059694129
Sikkim,42.92002934702861
Tamil Nadu,30.627084464438067
Tripura,20.408943244792663
Uttar Pradesh,36.90690627052915
Uttarakhand,32.68561598310983
West Bengal,23.623450892029492
